I (146188) TUNER: --- CSV START ---
I (146188) TUNER: Metadata,PID_0(P:3.60000 I:120.00000 D:0.00000),PID_1(P:3.60000 I:120.00000 D:0.00000)
I (146188) TUNER: Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
I (147168) TUNER: 97,997,712.84,778.07,2.57,0.01,695.52,778.07,2.65,0.01
I (147178) TUNER: 98,1003,741.22,786.10,2.55,0.01,716.19,786.10,2.66,0.01
I (147188) TUNER: 99,997,741.22,794.12,2.55,0.01,716.19,794.12,2.66,0.01
I (147198) TUNER: 100,1003,766.50,802.14,2.54,0.01,754.21,802.14,2.61,0.01
I (147208) TUNER: 101,997,766.50,810.16,2.54,0.01,754.21,810.16,2.61,0.01
I (147218) TUNER: 102,1003,795.31,818.18,2.52,0.01,775.17,818.18,2.62,0.01
I (147228) TUNER: 103,997,795.31,826.20,2.52,0.01,775.17,826.20,2.62,0.01
I (147238) TUNER: 104,1003,799.47,834.22,2.58,0.01,811.70,834.22,2.56,0.01
I (147248) TUNER: 105,997,799.47,842.25,2.58,0.01,811.70,842.25,2.56,0.01
I (147258) TUNER: 106,1003,816.53,850.27,2.60,0.01,822.89,850.27,2.60,0.01
I (147268) TUNER: 107,997,816.53,858.29,2.60,0.01,822.89,858.29,2.60,0.01
I (147278) TUNER: 108,1003,846.51,866.31,2.57,0.01,838.71,866.31,2.62,0.01
I (147288) TUNER: 109,997,846.51,874.33,2.57,0.01,838.71,874.33,2.62,0.01
I (147298) TUNER: 110,1003,869.63,882.35,2.56,0.01,863.39,882.35,2.61,0.01
I (147308) TUNER: 111,997,869.63,890.37,2.56,0.01,863.39,890.37,2.61,0.01
I (147318) TUNER: 112,1003,909.60,898.40,2.49,0.01,857.36,898.40,2.71,0.01
I (147328) TUNER: 113,997,909.60,906.42,2.49,0.01,857.36,906.42,2.71,0.01
I (147338) TUNER: 114,1003,889.18,914.44,2.64,0.01,898.07,914.44,2.64,0.01
I (147348) TUNER: 115,997,889.18,922.46,2.64,0.01,898.07,922.46,2.64,0.01
I (147358) TUNER: 116,1003,934.69,930.48,2.55,0.01,891.98,930.48,2.75,0.01
I (147368) TUNER: 117,997,934.69,938.50,2.55,0.01,891.98,938.50,2.75,0.01
I (147378) TUNER: 118,1003,951.34,946.52,2.56,0.01,918.89,946.52,2.73,0.01
I (147388) TUNER: 119,997,951.34,954.55,2.56,0.01,918.89,954.55,2.73,0.01
I (147398) TUNER: 120,1003,990.43,962.57,2.48,0.01,943.86,962.57,2.72,0.01
I (147408) TUNER: 121,997,990.43,970.59,2.48,0.01,943.86,970.59,2.72,0.01
I (147418) TUNER: 122,1003,989.92,978.61,2.56,0.01,971.56,978.61,2.69,0.01
I (147428) TUNER: 123,997,989.92,986.63,2.56,0.01,971.56,986.63,2.69,0.01
I (147438) TUNER: 124,1003,1004.98,994.65,2.57,0.01,971.39,994.65,2.77,0.01
I (147448) TUNER: 125,997,1004.98,1002.67,2.57,0.01,971.39,1002.67,2.77,0.01
I (147458) TUNER: 126,1003,1020.46,1010.70,2.58,0.01,979.84,1010.70,2.82,0.01
I (147468) TUNER: 127,997,1020.46,1018.72,2.58,0.01,979.84,1018.72,2.82,0.01
I (147478) TUNER: 128,1003,1047.45,1026.74,2.56,0.01,1020.11,1026.74,2.75,0.01
I (147488) TUNER: 129,997,1047.45,1034.76,2.56,0.01,1020.11,1034.76,2.75,0.01
I (147498) TUNER: 130,1003,1045.84,1042.78,2.63,0.01,1032.56,1042.78,2.78,0.02
I (147508) TUNER: 131,997,1045.84,1050.80,2.63,0.01,1032.56,1050.80,2.78,0.02
I (147518) TUNER: 132,1003,1072.05,1058.82,2.61,0.01,1061.42,1058.82,2.74,0.02
I (147528) TUNER: 133,997,1072.05,1066.84,2.61,0.01,1061.42,1066.84,2.74,0.02
I (147538) TUNER: 134,1003,1077.55,1074.87,2.66,0.01,1075.06,1074.87,2.77,0.02
I (147548) TUNER: 135,997,1077.55,1082.89,2.66,0.01,1075.06,1082.89,2.77,0.02
I (147558) TUNER: 136,1003,1092.26,1090.91,2.68,0.01,1084.26,1090.91,2.81,0.02
