I (146188) TUNER: --- CSV START ---
I (146188) TUNER: Metadata,PID_0(P:3.60000 I:120.00000 D:0.00000),PID_1(P:3.60000 I:120.00000 D:0.00000)
I (146188) TUNER: Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
I (151448) TUNER: 525,996,1494.99,1500.00,1.54,0.00,1496.23,1500.00,1.63,0.00
I (151458) TUNER: 526,1004,1515.55,1500.00,1.47,0.00,1497.64,1500.00,1.63,0.00
I (151468) TUNER: 527,996,1515.55,1500.00,1.47,0.00,1497.64,1500.00,1.63,0.00
I (151478) TUNER: 528,1004,1503.65,1500.00,1.51,0.00,1509.08,1500.00,1.58,0.00
I (151488) TUNER: 529,996,1503.65,1500.00,1.51,0.00,1509.08,1500.00,1.58,0.00
I (151498) TUNER: 530,1004,1495.85,1500.00,1.54,0.00,1509.64,1500.00,1.58,0.00
I (151508) TUNER: 531,996,1495.85,1500.00,1.54,0.00,1509.64,1500.00,1.58,0.00
I (151518) TUNER: 532,1004,1493.05,1500.00,1.55,0.00,1494.63,1500.00,1.63,0.00
I (151528) TUNER: 533,996,1493.05,1500.00,1.55,0.00,1494.63,1500.00,1.63,0.00
I (151538) TUNER: 534,1004,1496.82,1500.00,1.54,0.00,1486.06,1500.00,1.67,0.00
I (151548) TUNER: 535,996,1496.82,1500.00,1.54,0.00,1486.06,1500.00,1.67,0.00
I (151558) TUNER: 536,1004,1498.11,1500.00,1.53,0.00,1496.38,1500.00,1.63,0.00
I (151568) TUNER: 537,996,1498.11,1500.00,1.53,0.00,1496.38,1500.00,1.63,0.00
I (151578) TUNER: 538,1004,1488.84,1500.00,1.57,0.00,1503.78,1500.00,1.60,0.00
I (151588) TUNER: 539,996,1488.84,1500.00,1.57,0.00,1503.78,1500.00,1.60,0.00
I (151598) TUNER: 540,1004,1496.89,1500.00,1.54,0.00,1492.51,1500.00,1.65,0.00
I (151608) TUNER: 541,996,1496.89,1500.00,1.54,0.00,1492.51,1500.00,1.65,0.00
I (151618) TUNER: 542,1004,1480.13,1500.00,1.61,0.00,1512.71,1500.00,1.57,0.00
I (151628) TUNER: 543,996,1480.13,1500.00,1.61,0.00,1512.71,1500.00,1.57,0.00
I (151638) TUNER: 544,1004,1478.75,1500.00,1.62,0.00,1521.14,1500.00,1.53,0.00
I (151648) TUNER: 545,996,1478.75,1500.00,1.62,0.00,1521.14,1500.00,1.53,0.00
I (151658) TUNER: 546,1004,1487.96,1500.00,1.59,0.00,1497.81,1500.00,1.62,0.00
I (151668) TUNER: 547,996,1487.96,1500.00,1.59,0.00,1497.81,1500.00,1.62,0.00
I (151678) TUNER: 548,1004,1513.36,1500.00,1.49,0.00,1499.77,1500.00,1.61,0.00
I (151688) TUNER: 549,996,1513.36,1500.00,1.49,0.00,1499.77,1500.00,1.61,0.00
I (151698) TUNER: 550,1004,1517.36,1500.00,1.47,0.00,1503.91,1500.00,1.60,0.00
I (151708) TUNER: 551,996,1517.36,1500.00,1.47,0.00,1503.91,1500.00,1.60,0.00
I (151718) TUNER: 552,1004,1534.31,1500.00,1.40,0.00,1492.62,1500.00,1.64,0.00
I (151728) TUNER: 553,996,1534.31,1500.00,1.40,0.00,1492.62,1500.00,1.64,0.00
I (151738) TUNER: 554,1004,1522.95,1500.00,1.44,0.00,1506.78,1500.00,1.59,0.00
I (151748) TUNER: 555,996,1522.95,1500.00,1.44,0.00,1506.78,1500.00,1.59,0.00
I (151758) TUNER: 556,1004,1486.38,1500.00,1.57,0.00,1509.52,1500.00,1.57,0.00
I (151768) TUNER: 557,996,1486.38,1500.00,1.57,0.00,1509.52,1500.00,1.57,0.00
I (151778) TUNER: 558,1004,1493.20,1500.00,1.55,0.00,1485.94,1500.00,1.66,0.00
I (151788) TUNER: 559,996,1493.20,1500.00,1.55,0.00,1485.94,1500.00,1.66,0.00
I (151798) TUNER: 560,1004,1495.22,1500.00,1.54,0.00,1492.85,1500.00,1.64,0.00
I (151808) TUNER: 561,996,1495.22,1500.00,1.54,0.00,1492.85,1500.00,1.64,0.00
I (151818) TUNER: 562,1006,1485.38,1500.00,1.58,0.00,1498.07,1500.00,1.62,0.00
I (151828) TUNER: 563,994,1485.38,1492.02,1.58,0.00,1498.07,1492.02,1.62,0.00
I (151838) TUNER: 564,1004,1500.44,1484.04,1.45,0.00,1483.08,1484.04,1.60,0.00
I (151848) TUNER: 565,996,1500.44,1476.06,1.45,0.00,1483.08,1476.06,1.60,0.00
I (151858) TUNER: 566,1004,1507.89,1468.09,1.35,0.00,1494.86,1468.09,1.48,0.00
I (151868) TUNER: 567,996,1507.89,1460.11,1.35,0.00,1494.86,1460.11,1.48,0.00
I (151878) TUNER: 568,1004,1478.62,1452.13,1.37,0.00,1504.28,1452.13,1.36,0.00
I (151888) TUNER: 569,996,1478.62,1444.15,1.37,0.00,1504.28,1444.15,1.36,0.00
I (151898) TUNER: 570,1004,1489.57,1436.17,1.25,0.00,1486.04,1436.17,1.35,0.00
I (151908) TUNER: 571,996,1489.57,1428.19,1.25,0.00,1486.04,1428.19,1.35,0.00
I (151918) TUNER: 572,1004,1496.61,1420.21,1.13,0.00,1481.76,1420.21,1.27,0.00
I (151928) TUNER: 573,996,1496.61,1412.23,1.13,0.00,1481.76,1412.23,1.27,0.00
I (151938) TUNER: 574,1004,1472.18,1404.26,1.13,0.00,1487.79,1404.26,1.16,0.00
I (151948) TUNER: 575,996,1472.18,1396.28,1.13,0.00,1487.79,1396.28,1.16,0.00
I (151958) TUNER: 576,1004,1467.24,1388.30,1.06,0.00,1472.85,1388.30,1.12,0.00
I (151968) TUNER: 577,996,1467.24,1380.32,1.06,0.00,1472.85,1380.32,1.12,0.00
I (151978) TUNER: 578,1004,1463.28,1372.34,0.98,0.00,1486.67,1372.34,0.97,0.00
I (151988) TUNER: 579,996,1463.28,1364.36,0.98,0.00,1486.67,1364.36,0.97,0.00
I (151998) TUNER: 580,1004,1430.05,1356.38,1.01,0.00,1489.14,1356.38,0.86,0.00
I (152008) TUNER: 581,996,1430.05,1348.40,1.01,0.00,1489.14,1348.40,0.86,0.00
I (152018) TUNER: 582,1004,1433.53,1340.43,0.90,0.00,1447.30,1340.43,0.91,0.00
I (152028) TUNER: 583,996,1433.53,1332.45,0.90,0.00,1447.30,1332.45,0.91,0.00
I (152038) TUNER: 584,1004,1433.74,1324.47,0.80,0.00,1418.99,1324.47,0.92,0.00
I (152048) TUNER: 585,996,1433.74,1316.49,0.80,0.00,1418.99,1316.49,0.92,0.00
I (152058) TUNER: 586,1004,1428.76,1308.51,0.72,-0.00,1428.12,1308.51,0.79,0.00
I (152068) TUNER: 587,996,1428.76,1300.53,0.72,-0.00,1428.12,1300.53,0.79,0.00
I (152078) TUNER: 588,1004,1443.67,1292.55,0.56,-0.00,1401.92,1292.55,0.78,0.00
I (152088) TUNER: 589,996,1443.67,1284.57,0.56,-0.00,1401.92,1284.57,0.78,0.00
I (152098) TUNER: 590,1004,1416.08,1276.60,0.55,-0.00,1402.44,1276.60,0.68,-0.00
I (152108) TUNER: 591,996,1416.08,1268.62,0.55,-0.00,1402.44,1268.62,0.68,-0.00
I (152118) TUNER: 592,1004,1400.02,1260.64,0.51,-0.00,1396.84,1260.64,0.60,-0.00
I (152128) TUNER: 593,996,1400.02,1252.66,0.51,-0.00,1396.84,1252.66,0.60,-0.00
I (152138) TUNER: 594,1004,1382.88,1244.68,0.46,-0.00,1384.63,1244.68,0.54,-0.00
I (152148) TUNER: 595,996,1382.88,1236.70,0.46,-0.00,1384.63,1236.70,0.54,-0.00
I (152158) TUNER: 596,1004,1358.86,1228.72,0.45,-0.00,1365.41,1228.72,0.50,-0.00
I (152168) TUNER: 597,996,1358.86,1220.74,0.45,-0.00,1365.41,1220.74,0.50,-0.00
I (152178) TUNER: 598,1004,1355.10,1212.77,0.35,-0.00,1355.19,1212.77,0.43,-0.00
I (152188) TUNER: 599,996,1355.10,1204.79,0.35,-0.00,1355.19,1204.79,0.43,-0.00
I (152198) TUNER: 600,1004,1310.87,1196.81,0.41,-0.00,1336.71,1196.81,0.39,-0.00
I (152208) TUNER: 601,996,1310.87,1188.83,0.41,-0.00,1336.71,1188.83,0.39,-0.00
I (152218) TUNER: 602,1004,1296.09,1180.85,0.37,-0.00,1297.87,1180.85,0.43,-0.00
I (152228) TUNER: 603,996,1296.09,1172.87,0.37,-0.00,1297.87,1172.87,0.43,-0.00
I (152238) TUNER: 604,1004,1247.34,1164.89,0.45,-0.00,1282.26,1164.89,0.39,-0.00
I (152248) TUNER: 605,996,1247.34,1156.91,0.45,-0.00,1282.26,1156.91,0.39,-0.00
I (152258) TUNER: 606,1004,1222.08,1148.94,0.45,-0.00,1237.13,1148.94,0.46,-0.00
I (152268) TUNER: 607,996,1222.08,1140.96,0.45,-0.00,1237.13,1140.96,0.46,-0.00
I (152278) TUNER: 608,1004,1181.25,1132.98,0.52,-0.00,1196.73,1132.98,0.52,-0.00
I (152288) TUNER: 609,996,1181.25,1125.00,0.52,-0.00,1196.73,1125.00,0.52,-0.00
I (152298) TUNER: 610,1004,1178.66,1117.02,0.44,-0.00,1158.40,1117.02,0.57,-0.00
I (152308) TUNER: 611,996,1178.66,1109.04,0.44,-0.00,1158.40,1109.04,0.57,-0.00
I (152318) TUNER: 612,1004,1156.82,1101.06,0.43,-0.00,1166.39,1101.06,0.46,-0.00
I (152328) TUNER: 613,996,1156.82,1093.09,0.43,-0.00,1166.39,1093.09,0.46,-0.00
I (152338) TUNER: 614,1004,1102.42,1085.11,0.55,-0.00,1171.06,1085.11,0.35,-0.00
I (152348) TUNER: 615,996,1102.42,1077.13,0.55,-0.00,1171.06,1077.13,0.35,-0.00
I (152358) TUNER: 616,1004,1010.79,1069.15,0.83,-0.00,1181.67,1069.15,0.21,-0.00
I (152368) TUNER: 617,996,1010.79,1061.17,0.83,-0.00,1181.67,1061.17,0.21,-0.00
I (152378) TUNER: 618,1004,964.12,1053.19,0.94,-0.00,1114.57,1053.19,0.36,-0.00
I (152388) TUNER: 619,996,964.12,1045.21,0.94,-0.00,1114.57,1045.21,0.36,-0.00
I (152398) TUNER: 620,1004,992.06,1037.23,0.78,-0.00,1067.75,1037.23,0.45,-0.00
I (152408) TUNER: 621,996,992.06,1029.26,0.78,-0.00,1067.75,1029.26,0.45,-0.00
I (152418) TUNER: 622,1004,1033.32,1021.28,0.56,-0.00,987.35,1021.28,0.68,-0.00
I (152428) TUNER: 623,996,1033.32,1013.30,0.56,-0.00,987.35,1013.30,0.68,-0.00
I (152438) TUNER: 624,1004,1066.32,1005.32,0.35,-0.00,917.88,1005.32,0.88,-0.00
I (152448) TUNER: 625,996,1066.32,997.34,0.35,-0.00,917.88,997.34,0.88,-0.00
I (152458) TUNER: 626,1004,1085.00,989.36,0.19,-0.00,866.59,989.36,1.02,-0.00
I (152468) TUNER: 627,996,1085.00,981.38,0.19,-0.00,866.59,981.38,1.02,-0.00
I (152478) TUNER: 628,1004,1094.78,973.40,0.06,-0.00,812.68,973.40,1.18,-0.00
I (152488) TUNER: 629,996,1094.78,965.43,0.06,-0.00,812.68,965.43,1.18,-0.00
I (152498) TUNER: 630,1004,1088.86,957.45,-0.03,-0.00,794.46,957.45,1.21,-0.00
I (152508) TUNER: 631,996,1088.86,949.47,-0.03,-0.00,794.46,949.47,1.21,-0.00
I (152518) TUNER: 632,1004,1052.35,941.49,0.01,-0.00,876.10,941.49,0.86,-0.00
I (152528) TUNER: 633,996,1052.35,933.51,0.01,-0.00,876.10,933.51,0.86,-0.00
I (152538) TUNER: 634,1004,1022.27,925.53,0.02,-0.00,947.42,925.53,0.53,-0.00
I (152548) TUNER: 635,996,1022.27,917.55,0.02,-0.00,947.42,917.55,0.53,-0.00
I (152558) TUNER: 636,1004,1009.38,909.57,-0.03,-0.00,1013.07,909.57,0.20,-0.00
I (152568) TUNER: 637,996,1009.38,901.60,-0.03,-0.00,1013.07,901.60,0.20,-0.00
I (152578) TUNER: 638,1004,967.29,893.62,0.03,-0.00,1021.77,893.62,0.06,-0.00
I (152588) TUNER: 639,996,967.29,885.64,0.03,-0.00,1021.77,885.64,0.06,-0.00
I (152598) TUNER: 640,1004,955.94,877.66,-0.02,-0.00,1029.60,877.66,-0.07,-0.00
I (152608) TUNER: 641,996,955.94,869.68,-0.02,-0.00,1029.60,869.68,-0.07,-0.00
I (152618) TUNER: 642,1004,927.97,861.70,-0.00,-0.00,1022.12,861.70,-0.16,-0.00
I (152628) TUNER: 643,996,927.97,853.72,-0.00,-0.00,1022.12,853.72,-0.16,-0.00
I (152638) TUNER: 644,1004,903.01,845.74,-0.00,-0.00,1010.11,845.74,-0.22,-0.00
I (152648) TUNER: 645,996,903.01,837.77,-0.00,-0.00,1010.11,837.77,-0.22,-0.00
I (152658) TUNER: 646,1004,919.99,829.79,-0.15,-0.00,973.88,829.79,-0.20,-0.00
I (152668) TUNER: 647,996,919.99,821.81,-0.15,-0.00,973.88,821.81,-0.20,-0.00
I (152678) TUNER: 648,1004,904.36,813.83,-0.19,-0.00,945.76,813.83,-0.20,-0.00
I (152688) TUNER: 649,996,904.36,805.85,-0.19,-0.00,945.76,805.85,-0.20,-0.00
I (152698) TUNER: 650,1004,913.33,797.87,-0.32,-0.01,927.55,797.87,-0.24,-0.00
I (152708) TUNER: 651,996,913.33,789.89,-0.32,-0.01,927.55,789.89,-0.24,-0.00
I (152718) TUNER: 652,1004,898.18,781.91,-0.37,-0.01,912.13,781.91,-0.29,-0.00
I (152728) TUNER: 653,996,898.18,773.94,-0.37,-0.01,912.13,773.94,-0.29,-0.00
I (152738) TUNER: 654,1004,866.30,765.96,-0.35,-0.01,892.06,765.96,-0.32,-0.00
I (152748) TUNER: 655,996,866.30,757.98,-0.35,-0.01,892.06,757.98,-0.32,-0.00
I (152758) TUNER: 656,1004,845.94,750.00,-0.37,-0.01,829.62,750.00,-0.18,-0.00
I (152768) TUNER: 657,996,845.94,742.02,-0.37,-0.01,829.62,742.02,-0.18,-0.00
I (152778) TUNER: 658,1004,808.19,734.04,-0.33,-0.01,759.05,734.04,-0.01,-0.00
I (152788) TUNER: 659,996,808.19,726.06,-0.33,-0.01,759.05,726.06,-0.01,-0.00
I (152798) TUNER: 660,1004,777.12,718.09,-0.30,-0.01,715.48,718.09,0.08,-0.00
I (152808) TUNER: 661,996,777.12,710.11,-0.30,-0.01,715.48,710.11,0.08,-0.00
I (152818) TUNER: 662,1004,766.87,702.13,-0.35,-0.01,678.04,702.13,0.15,-0.00
I (152828) TUNER: 663,996,766.87,694.15,-0.35,-0.01,678.04,694.15,0.15,-0.00
I (152838) TUNER: 664,1004,748.37,686.17,-0.37,-0.01,646.38,686.17,0.20,-0.00
I (152848) TUNER: 665,996,748.37,678.19,-0.37,-0.01,646.38,678.19,0.20,-0.00
I (152858) TUNER: 666,1004,729.27,670.21,-0.39,-0.01,635.65,670.21,0.17,-0.00
I (152868) TUNER: 667,996,729.27,662.23,-0.39,-0.01,635.65,662.23,0.17,-0.00
I (152878) TUNER: 668,1004,720.86,654.26,-0.44,-0.01,639.09,654.26,0.09,-0.00
I (152888) TUNER: 669,996,720.86,646.28,-0.44,-0.01,639.09,646.28,0.09,-0.00
I (152898) TUNER: 670,1004,726.16,638.30,-0.56,-0.01,649.58,638.30,-0.02,-0.00
I (152908) TUNER: 671,996,726.16,630.32,-0.56,-0.01,649.58,630.32,-0.02,-0.00
I (152918) TUNER: 672,1004,710.64,622.34,-0.59,-0.01,654.53,622.34,-0.12,-0.00
I (152928) TUNER: 673,996,710.64,614.36,-0.59,-0.01,654.53,614.36,-0.12,-0.00
I (152938) TUNER: 674,1004,710.25,606.38,-0.69,-0.01,673.09,606.38,-0.27,-0.00
I (152948) TUNER: 675,996,710.25,598.40,-0.69,-0.01,673.09,598.40,-0.27,-0.00
I (152958) TUNER: 676,1004,710.80,590.43,-0.79,-0.01,693.10,590.43,-0.44,-0.01
I (152968) TUNER: 677,996,710.80,582.45,-0.79,-0.01,693.10,582.45,-0.44,-0.01
I (152978) TUNER: 678,1004,676.02,574.47,-0.76,-0.01,703.95,574.47,-0.58,-0.01
I (152988) TUNER: 679,996,676.02,566.49,-0.76,-0.01,703.95,566.49,-0.58,-0.01
I (152998) TUNER: 680,1004,621.56,558.51,-0.65,-0.01,724.66,558.51,-0.77,-0.01
I (153008) TUNER: 681,996,621.56,550.53,-0.65,-0.01,724.66,550.53,-0.77,-0.01
I (153018) TUNER: 682,1004,588.31,542.55,-0.62,-0.01,733.49,542.55,-0.92,-0.01
I (153028) TUNER: 683,996,588.31,534.57,-0.62,-0.01,733.49,534.57,-0.92,-0.01
I (153038) TUNER: 684,1004,569.43,526.60,-0.63,-0.01,694.17,526.60,-0.89,-0.01
I (153048) TUNER: 685,996,569.43,518.62,-0.63,-0.01,694.17,518.62,-0.89,-0.01
I (153058) TUNER: 686,1004,564.64,510.64,-0.70,-0.01,652.41,510.64,-0.84,-0.01
I (153068) TUNER: 687,996,564.64,502.66,-0.70,-0.01,652.41,502.66,-0.84,-0.01
I (153078) TUNER: 688,1004,543.63,494.68,-0.71,-0.01,633.60,494.68,-0.88,-0.01
I (153088) TUNER: 689,996,543.63,486.70,-0.71,-0.01,633.60,486.70,-0.88,-0.01
I (153098) TUNER: 690,1004,514.80,478.72,-0.68,-0.01,615.12,478.72,-0.92,-0.01
I (153108) TUNER: 691,996,514.80,470.74,-0.68,-0.01,615.12,470.74,-0.92,-0.01
I (153118) TUNER: 692,1004,498.60,462.77,-0.71,-0.01,590.88,462.77,-0.93,-0.01
I (153128) TUNER: 693,996,498.60,454.79,-0.71,-0.01,590.88,454.79,-0.93,-0.01
I (153138) TUNER: 694,1004,485.64,446.81,-0.74,-0.01,567.20,446.81,-0.95,-0.01
I (153148) TUNER: 695,996,485.64,438.83,-0.74,-0.01,567.20,438.83,-0.95,-0.01
I (153158) TUNER: 696,1004,465.82,430.85,-0.75,-0.01,547.39,430.85,-0.98,-0.01
I (153168) TUNER: 697,996,465.82,422.87,-0.75,-0.01,547.39,422.87,-0.98,-0.01
I (153178) TUNER: 698,1004,444.82,414.89,-0.75,-0.01,516.09,414.89,-0.96,-0.01
I (153188) TUNER: 699,996,444.82,406.91,-0.75,-0.01,516.09,406.91,-0.96,-0.01
I (153198) TUNER: 700,1004,419.42,398.94,-0.74,-0.01,491.90,398.94,-0.97,-0.01
I (153208) TUNER: 701,996,419.42,390.96,-0.74,-0.01,491.90,390.96,-0.97,-0.01
I (153218) TUNER: 702,1004,399.11,382.98,-0.74,-0.01,463.10,382.98,-0.95,-0.01
I (153228) TUNER: 703,996,399.11,375.00,-0.74,-0.01,463.10,375.00,-0.95,-0.01
I (153238) TUNER: 704,1004,369.97,367.02,-0.71,-0.01,437.49,367.02,-0.95,-0.01
I (153248) TUNER: 705,996,369.97,359.04,-0.71,-0.01,437.49,359.04,-0.95,-0.01
I (153258) TUNER: 706,1004,365.56,351.06,-0.77,-0.01,407.54,351.06,-0.93,-0.01
I (153268) TUNER: 707,996,365.56,343.09,-0.77,-0.01,407.54,343.09,-0.93,-0.01
I (153278) TUNER: 708,1004,361.17,335.11,-0.83,-0.01,387.03,335.11,-0.94,-0.01
I (153288) TUNER: 709,996,361.17,327.13,-0.83,-0.01,387.03,327.13,-0.94,-0.01
I (153298) TUNER: 710,1004,351.64,319.15,-0.87,-0.01,412.70,319.15,-1.13,-0.01
I (153308) TUNER: 711,996,351.64,311.17,-0.87,-0.01,412.70,311.17,-1.13,-0.01
I (153318) TUNER: 712,1004,340.59,303.19,-0.92,-0.01,416.93,303.19,-1.24,-0.01
I (153328) TUNER: 713,996,340.59,295.21,-0.92,-0.01,416.93,295.21,-1.24,-0.01
I (153338) TUNER: 714,1004,325.73,287.23,-0.94,-0.01,410.85,287.23,-1.32,-0.01
I (153348) TUNER: 715,996,325.73,279.26,-0.94,-0.01,410.85,279.26,-1.32,-0.01
I (153358) TUNER: 716,1004,303.54,271.28,-0.94,-0.01,394.83,271.28,-1.36,-0.01
I (153368) TUNER: 717,996,303.54,263.30,-0.94,-0.01,394.83,263.30,-1.36,-0.01
I (153378) TUNER: 718,1004,281.48,255.32,-0.94,-0.01,358.81,255.32,-1.33,-0.01
I (153388) TUNER: 719,996,281.48,247.34,-0.94,-0.01,358.81,247.34,-1.33,-0.01
I (153398) TUNER: 720,1004,251.82,239.36,-0.91,-0.01,328.28,239.36,-1.31,-0.01
I (153408) TUNER: 721,996,251.82,231.38,-0.91,-0.01,328.28,231.38,-1.31,-0.01
I (153418) TUNER: 722,1004,219.49,223.40,-0.86,-0.01,301.28,223.40,-1.31,-0.01
I (153428) TUNER: 723,996,219.49,215.43,-0.86,-0.01,301.28,215.43,-1.31,-0.01
I (153438) TUNER: 724,1004,197.93,207.45,-0.86,-0.01,268.52,207.45,-1.28,-0.01
I (153448) TUNER: 725,996,197.93,199.47,-0.86,-0.01,268.52,199.47,-1.28,-0.01
I (153458) TUNER: 726,1004,181.54,191.49,-0.87,-0.01,242.30,191.49,-1.27,-0.01
I (153468) TUNER: 727,996,181.54,183.51,-0.87,-0.01,242.30,183.51,-1.27,-0.01
I (153478) TUNER: 728,1004,167.56,175.53,-0.89,-0.01,227.34,175.53,-1.30,-0.01
I (153488) TUNER: 729,996,167.56,167.55,-0.89,-0.01,227.34,167.55,-1.30,-0.01
I (153498) TUNER: 730,1004,152.95,159.57,-0.90,-0.01,200.77,159.57,-1.28,-0.01
I (153508) TUNER: 731,996,152.95,151.60,-0.90,-0.01,200.77,151.60,-1.28,-0.01
I (153518) TUNER: 732,1004,129.23,143.62,-0.89,-0.01,168.35,143.62,-1.24,-0.01
I (153528) TUNER: 733,996,129.23,135.64,-0.89,-0.01,168.35,135.64,-1.24,-0.01
I (153538) TUNER: 734,1004,109.40,127.66,-0.88,-0.01,137.26,127.66,-1.20,-0.01
I (153548) TUNER: 735,996,109.40,119.68,-0.88,-0.01,137.26,119.68,-1.20,-0.01
I (153558) TUNER: 736,1004,97.83,111.70,-0.91,-0.01,116.68,111.70,-1.20,-0.01
I (153568) TUNER: 737,996,97.83,103.72,-0.91,-0.01,116.68,103.72,-1.20,-0.01
I (153578) TUNER: 738,1004,86.85,95.74,-0.94,-0.01,104.51,95.74,-1.23,-0.01
I (153588) TUNER: 739,996,86.85,87.77,-0.94,-0.01,104.51,87.77,-1.23,-0.01
I (153598) TUNER: 740,1004,73.78,79.79,-0.96,-0.01,93.92,79.79,-1.27,-0.01
I (153608) TUNER: 741,996,73.78,71.81,-0.96,-0.01,93.92,71.81,-1.27,-0.01
I (153618) TUNER: 742,1004,59.02,63.83,-0.98,-0.01,83.72,63.83,-1.31,-0.01
I (153628) TUNER: 743,996,59.02,55.85,-0.98,-0.01,83.72,55.85,-1.31,-0.01
I (153638) TUNER: 744,1004,46.36,47.87,-1.01,-0.01,74.71,47.87,-1.36,-0.01
I (153648) TUNER: 745,996,46.36,39.89,-1.01,-0.01,74.71,39.89,-1.36,-0.01
I (153658) TUNER: 746,1004,32.79,31.91,-1.03,-0.01,63.20,31.91,-1.39,-0.01
I (153668) TUNER: 747,996,32.79,23.94,-1.03,-0.01,63.20,23.94,-1.39,-0.01
I (153678) TUNER: 748,1004,19.36,15.96,-1.05,-0.01,50.56,15.96,-1.43,-0.01
I (153688) TUNER: 749,996,19.36,7.98,-1.05,-0.01,50.56,7.98,-1.43,-0.01
I (153698) TUNER: --- CSV END ---
