00:48:41.008 [TUNER] --- CSV START ---
00:48:41.008 [TUNER] Metadata,PID_0(P:12.35200 I:445.32941 D:0.00000),PID_1(P:13.37410 I:478.63708 D:0.00000)
00:48:41.008 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
00:48:42.615 [TUNER] 81,1000,646.42,648.00,1.95,0.00,650.34,648.00,2.11,0.00
00:48:42.655 [TUNER] 82,1000,685.51,656.00,1.66,0.00,683.49,656.00,1.87,0.00
00:48:42.656 [TUNER] 83,1000,685.51,664.00,1.66,0.00,683.49,664.00,1.87,0.00
00:48:42.702 [TUNER] 84,1000,692.72,672.00,1.76,0.00,694.54,672.00,1.93,0.00
00:48:42.703 [TUNER] 85,1000,692.72,680.00,1.76,0.00,694.54,680.00,1.93,0.00
00:48:42.743 [TUNER] 86,1000,698.50,688.00,1.89,0.00,689.64,688.00,2.23,0.00
00:48:42.743 [TUNER] 87,1000,698.50,696.00,1.89,0.00,689.64,696.00,2.23,0.00
00:48:42.785 [TUNER] 88,1000,701.40,704.00,2.07,0.00,692.60,704.00,2.43,0.00
00:48:42.786 [TUNER] 89,1002,698.29,712.00,2.23,0.00,708.39,712.00,2.33,0.00
00:48:42.829 [TUNER] 90,998,698.29,720.00,2.23,0.00,708.39,720.00,2.33,0.00
00:48:42.829 [TUNER] 91,1000,699.65,728.00,2.45,0.00,733.53,728.00,2.22,0.00
00:48:42.870 [TUNER] 92,1000,699.65,736.00,2.45,0.00,733.53,736.00,2.22,0.00
00:48:42.870 [TUNER] 93,1000,709.19,744.00,2.57,0.00,760.35,744.00,2.08,0.00
00:48:42.914 [TUNER] 94,1000,709.19,752.00,2.57,0.00,760.35,752.00,2.08,0.00
00:48:42.915 [TUNER] 95,1000,740.88,760.00,2.41,0.00,774.93,760.00,2.10,0.00
00:48:42.955 [TUNER] 96,1000,740.88,768.00,2.41,0.00,774.93,768.00,2.10,0.00
