16:32:30.908 [TUNER] --- CSV START ---
16:32:30.908 [TUNER] Metadata,PID_0(P:15.61860 I:661.27509 D:0.00000),PID_1(P:15.35330 I:650.89368 D:0.00000)
16:32:30.908 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
16:32:33.650 [TUNER] 138,1003,1058.53,1106.95,3.23,0.00,1038.45,1106.95,3.36,0.00
16:32:33.690 [TUNER] 139,997,1058.53,1114.97,3.23,0.00,1038.45,1114.97,3.36,0.00
16:32:33.691 [TUNER] 140,1003,1079.62,1122.99,3.22,0.00,1075.58,1122.99,3.11,0.00
16:32:33.734 [TUNER] 141,997,1079.62,1131.02,3.22,0.00,1075.58,1131.02,3.11,0.00
16:32:33.735 [TUNER] 142,1003,1113.68,1139.04,2.99,0.00,1111.30,1139.04,2.86,0.00
16:32:33.776 [TUNER] 143,997,1113.68,1147.06,2.99,0.00,1111.30,1147.06,2.86,0.00
16:32:33.777 [TUNER] 144,1003,1179.57,1155.08,2.19,0.00,1147.61,1155.08,2.57,0.00
16:32:33.820 [TUNER] 145,997,1179.57,1163.10,2.19,0.00,1147.61,1163.10,2.57,0.00
16:32:33.821 [TUNER] 146,1003,1176.46,1171.12,2.50,0.00,1183.53,1171.12,2.27,0.00
16:32:33.862 [TUNER] 147,997,1176.46,1179.14,2.50,0.00,1183.53,1179.14,2.27,0.00
16:32:33.862 [TUNER] 148,1003,1161.94,1187.17,3.02,0.00,1190.79,1187.17,2.41,0.00
16:32:33.902 [TUNER] 149,997,1161.94,1195.19,3.02,0.00,1190.79,1195.19,2.41,0.00
16:32:33.902 [TUNER] 150,1003,1174.37,1203.21,3.13,0.00,1187.14,1203.21,2.75,0.00
16:32:33.903 [TUNER] 151,997,1174.37,1211.23,3.13,0.00,1187.14,1211.23,2.75,0.00
16:32:33.946 [TUNER] 152,1003,1202.36,1219.25,2.98,0.00,1143.86,1219.25,3.77,0.00
16:32:33.947 [TUNER] 153,997,1202.36,1227.27,2.98,0.00,1143.86,1227.27,3.77,0.00
16:32:33.989 [TUNER] 154,1003,1199.84,1235.29,3.34,0.00,1179.67,1235.29,3.56,0.00
16:32:33.990 [TUNER] 155,997,1199.84,1243.32,3.34,0.00,1179.67,1243.32,3.56,0.00
16:32:34.031 [TUNER] 156,1003,1228.75,1251.34,3.18,0.00,1204.02,1251.34,3.50,0.00
16:32:34.032 [TUNER] 157,997,1228.75,1259.36,3.18,0.00,1204.02,1259.36,3.50,0.00
16:32:34.076 [TUNER] 158,1003,1282.80,1267.38,2.58,0.00,1241.54,1267.38,3.22,0.00
16:32:34.076 [TUNER] 159,997,1282.80,1275.40,2.58,0.00,1241.54,1275.40,3.22,0.00
16:32:34.115 [TUNER] 160,1003,1307.14,1283.42,2.43,0.00,1324.82,1283.42,2.15,0.00
16:32:34.115 [TUNER] 161,997,1307.14,1291.44,2.43,0.00,1324.82,1291.44,2.15,0.00
16:32:34.159 [TUNER] 162,1003,1323.18,1299.47,2.42,0.00,1387.14,1299.47,1.34,0.00
16:32:34.161 [TUNER] 163,997,1323.18,1307.49,2.42,0.00,1387.14,1307.49,1.34,0.00
16:32:34.200 [TUNER] 164,1003,1348.04,1315.51,2.25,0.00,1423.26,1315.51,0.91,0.00
16:32:34.201 [TUNER] 165,997,1348.04,1323.53,2.25,0.00,1423.26,1323.53,0.91,0.00
16:32:34.244 [TUNER] 166,1003,1334.42,1331.55,2.72,0.00,1417.79,1331.55,1.14,0.00
16:32:34.245 [TUNER] 167,997,1334.42,1339.57,2.72,0.00,1417.79,1339.57,1.14,0.00
16:32:34.247 [TUNER] 168,1003,1347.58,1347.59,2.78,0.00,1342.98,1347.59,2.56,0.00
16:32:34.286 [TUNER] 169,997,1347.58,1355.61,2.78,0.00,1342.98,1355.61,2.56,0.00
16:32:34.286 [TUNER] 170,1003,1340.07,1363.64,3.20,0.00,1308.90,1363.64,3.41,0.00
16:32:34.328 [TUNER] 171,997,1340.07,1371.66,3.20,0.00,1308.90,1371.66,3.41,0.00
16:32:34.328 [TUNER] 172,1003,1323.75,1379.68,3.79,0.00,1319.43,1379.68,3.59,0.00
16:32:34.371 [TUNER] 173,997,1323.75,1387.70,3.79,0.00,1319.43,1387.70,3.59,0.00
16:32:34.372 [TUNER] 174,1003,1359.66,1395.72,3.54,0.00,1332.15,1395.72,3.74,0.00
16:32:34.415 [TUNER] 175,997,1359.66,1403.74,3.54,0.00,1332.15,1403.74,3.74,0.00
16:32:34.416 [TUNER] 176,1003,1400.41,1411.76,3.19,0.00,1355.21,1411.76,3.72,0.00
16:32:34.455 [TUNER] 177,997,1400.41,1419.79,3.19,0.00,1355.21,1419.79,3.72,0.00
16:32:34.456 [TUNER] 178,1003,1430.44,1427.81,2.98,0.00,1355.62,1427.81,4.07,0.00
16:32:34.499 [TUNER] 179,997,1430.44,1435.83,2.98,0.00,1355.62,1435.83,4.07,0.00
16:32:34.500 [TUNER] 180,1003,1497.41,1443.85,2.13,0.00,1420.38,1443.85,3.36,0.00
16:32:34.543 [TUNER] 181,997,1497.41,1451.87,2.13,0.00,1420.38,1451.87,3.36,0.00
16:32:34.544 [TUNER] 182,1003,1583.64,1459.89,0.88,0.00,1489.37,1459.89,2.53,0.00
16:32:34.584 [TUNER] 183,997,1583.64,1467.91,0.88,0.00,1489.37,1467.91,2.53,0.00
16:32:34.585 [TUNER] 184,1003,1594.20,1475.94,0.83,0.00,1552.28,1475.94,1.72,0.00
16:32:34.586 [TUNER] 185,997,1594.20,1483.96,0.83,0.00,1552.28,1483.96,1.72,0.00
16:32:34.626 [TUNER] 186,1003,1537.36,1491.98,1.92,0.00,1608.63,1491.98,0.97,0.00
16:32:34.627 [TUNER] 187,996,1537.36,1500.00,1.92,0.00,1608.63,1500.00,0.97,0.00
16:32:34.668 [TUNER] 188,1004,1502.20,1500.00,2.60,0.00,1621.93,1500.00,0.74,0.00
16:32:34.668 [TUNER] 189,996,1502.20,1500.00,2.60,0.00,1621.93,1500.00,0.74,0.00
16:32:34.713 [TUNER] 190,1004,1457.75,1500.00,3.35,0.00,1616.24,1500.00,0.67,0.00
16:32:34.715 [TUNER] 191,996,1457.75,1500.00,3.35,0.00,1616.24,1500.00,0.67,0.00
16:32:34.752 [TUNER] 192,1004,1446.25,1500.00,3.60,0.00,1563.59,1500.00,1.40,0.00
16:32:34.754 [TUNER] 193,996,1446.25,1500.00,3.60,0.00,1563.59,1500.00,1.40,0.00
16:32:34.796 [TUNER] 194,1004,1485.15,1500.00,3.01,0.00,1467.35,1500.00,2.92,0.00
16:32:34.797 [TUNER] 195,996,1485.15,1500.00,3.01,0.00,1467.35,1500.00,2.92,0.00
16:32:34.839 [TUNER] 196,1004,1492.21,1500.00,2.91,0.00,1454.78,1500.00,3.17,0.00
16:32:34.839 [TUNER] 197,996,1492.21,1500.00,2.91,0.00,1454.78,1500.00,3.17,0.00
16:32:34.881 [TUNER] 198,1004,1478.97,1500.00,3.15,0.00,1483.38,1500.00,2.75,0.00
16:32:34.882 [TUNER] 199,996,1478.97,1500.00,3.15,0.00,1483.38,1500.00,2.75,0.00
16:32:34.923 [TUNER] 200,1004,1501.02,1500.00,2.80,0.00,1472.76,1500.00,2.95,0.00
16:32:34.967 [TUNER] 201,996,1501.02,1500.00,2.80,0.00,1472.76,1500.00,2.95,0.00
16:32:34.967 [TUNER] 202,1004,1542.71,1500.00,2.09,0.00,1482.31,1500.00,2.83,0.00
16:32:34.967 [TUNER] 203,996,1542.71,1500.00,2.09,0.00,1482.31,1500.00,2.83,0.00
16:32:34.968 [TUNER] 204,1004,1561.45,1500.00,1.72,0.00,1507.98,1500.00,2.42,0.00
16:32:35.009 [TUNER] 205,996,1561.45,1500.00,1.72,0.00,1507.98,1500.00,2.42,0.00
16:32:35.010 [TUNER] 206,1004,1565.29,1500.00,1.57,0.00,1548.28,1500.00,1.74,0.00
16:32:35.052 [TUNER] 207,996,1565.29,1500.00,1.57,0.00,1548.28,1500.00,1.74,0.00
16:32:35.052 [TUNER] 208,1004,1577.80,1500.00,1.27,0.00,1594.26,1500.00,0.91,0.00
16:32:35.094 [TUNER] 209,996,1577.80,1500.00,1.27,0.00,1594.26,1500.00,0.91,0.00
16:32:35.095 [TUNER] 210,1004,1559.47,1500.00,1.48,0.00,1609.57,1500.00,0.53,0.00
16:32:35.135 [TUNER] 211,996,1559.47,1500.00,1.48,0.00,1609.57,1500.00,0.53,0.00
16:32:35.136 [TUNER] 212,1004,1535.35,1500.00,1.81,0.00,1575.43,1500.00,0.96,0.00
16:32:35.179 [TUNER] 213,996,1535.35,1500.00,1.81,0.00,1575.43,1500.00,0.96,0.00
16:32:35.179 [TUNER] 214,1004,1539.25,1500.00,1.70,0.00,1497.44,1500.00,2.16,0.00
16:32:35.222 [TUNER] 215,996,1539.25,1500.00,1.70,0.00,1497.44,1500.00,2.16,0.00
16:32:35.222 [TUNER] 216,1004,1529.48,1500.00,1.81,0.00,1484.87,1500.00,2.37,0.00
16:32:35.263 [TUNER] 217,996,1529.48,1500.00,1.81,0.00,1484.87,1500.00,2.37,0.00
16:32:35.264 [TUNER] 218,1004,1507.06,1500.00,2.15,0.00,1501.44,1500.00,2.12,0.00
