00:08:05.113 [TUNER] --- CSV START ---
00:08:05.113 [TUNER] Metadata,Profile(Accel:12.0 Jerk:100.0),PID_0(P:12.38267 I:446.36163 D:0.00000),PID_1(P:13.40700 I:479.74985 D:0.00000)
00:08:05.113 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
00:08:07.332 [TUNER] 110,1000,566.63,621.60,2.55,0.00,617.96,621.60,2.12,0.00
00:08:07.367 [TUNER] 111,1000,577.00,632.80,2.77,0.00,661.02,632.80,1.84,0.00
00:08:07.368 [TUNER] 112,1000,577.00,644.10,2.77,0.00,661.02,644.10,1.84,0.00
00:08:07.403 [TUNER] 113,1000,602.48,655.50,2.81,0.00,669.70,655.50,2.04,0.00
00:08:07.404 [TUNER] 114,1000,602.48,667.00,2.81,0.00,669.70,667.00,2.04,0.00
00:08:07.438 [TUNER] 115,1000,633.18,678.60,2.78,0.00,654.30,678.60,2.60,0.00
00:08:07.438 [TUNER] 116,1000,633.18,690.30,2.78,0.00,654.30,690.30,2.60,0.00
00:08:07.473 [TUNER] 117,1000,668.04,702.10,2.69,0.00,650.58,702.10,3.04,0.00
00:08:07.508 [TUNER] 118,1000,668.04,714.00,2.69,0.00,650.58,714.00,3.04,0.00
00:08:07.508 [TUNER] 119,1000,695.93,726.00,2.69,0.00,663.06,726.00,3.27,0.00
00:08:07.542 [TUNER] 120,1000,695.93,738.00,2.69,0.00,663.06,738.00,3.27,0.00
00:08:07.543 [TUNER] 121,1000,726.83,750.00,2.65,0.00,698.82,750.00,3.19,0.00
00:08:07.579 [TUNER] 122,1004,759.43,762.00,2.41,0.00,764.40,762.00,2.48,0.00
00:08:07.580 [TUNER] 123,996,759.43,774.00,2.41,0.00,764.40,774.00,2.48,0.00
00:08:07.613 [TUNER] 124,1000,805.52,786.00,2.14,0.00,819.82,786.00,2.05,0.00
00:08:07.648 [TUNER] 125,1000,805.52,798.00,2.14,0.00,819.82,798.00,2.05,0.00
00:08:07.685 [TUNER] 126,1000,835.12,810.00,2.08,0.00,848.28,810.00,1.98,0.00
00:08:07.686 [TUNER] 127,1000,835.12,822.00,2.08,0.00,848.28,822.00,1.98,0.00
00:08:07.686 [TUNER] 128,1000,850.21,834.00,2.20,0.00,834.97,834.00,2.50,0.00
00:08:07.718 [TUNER] 129,1000,850.21,846.00,2.20,0.00,834.97,846.00,2.50,0.00
00:08:07.718 [TUNER] 130,1000,853.69,858.00,2.48,0.00,822.60,858.00,3.05,0.00
00:08:07.753 [TUNER] 131,1000,853.69,870.00,2.48,0.00,822.60,870.00,3.05,0.00
00:08:07.789 [TUNER] 132,1000,858.19,882.00,2.77,0.00,847.07,882.00,3.10,0.00
00:08:07.789 [TUNER] 133,1000,858.19,894.00,2.77,0.00,847.07,894.00,3.10,0.00
00:08:07.824 [TUNER] 134,1000,889.29,906.00,2.72,0.00,863.20,906.00,3.27,0.00
00:08:07.824 [TUNER] 135,1000,889.29,918.00,2.72,0.00,863.20,918.00,3.27,0.00
00:08:07.858 [TUNER] 136,1000,915.88,930.00,2.72,0.00,867.52,930.00,3.61,0.00
00:08:07.859 [TUNER] 137,1000,915.88,942.00,2.72,0.00,867.52,942.00,3.61,0.00
00:08:07.893 [TUNER] 138,1000,935.43,954.00,2.82,0.00,893.31,954.00,3.67,0.00
00:08:07.929 [TUNER] 139,1000,935.43,966.00,2.82,0.00,893.31,966.00,3.67,0.00
00:08:07.930 [TUNER] 140,1000,968.26,978.00,2.74,0.00,943.15,978.00,3.38,0.00
00:08:07.965 [TUNER] 141,1000,968.26,990.00,2.74,0.00,943.15,990.00,3.38,0.00
00:08:07.966 [TUNER] 142,1000,975.62,1002.00,2.99,0.00,988.18,1002.00,3.14,0.00
00:08:07.999 [TUNER] 143,1000,975.62,1014.00,2.99,0.00,988.18,1014.00,3.14,0.00
00:08:07.999 [TUNER] 144,1000,993.53,1026.00,3.12,0.00,994.99,1026.00,3.42,0.00
00:08:08.033 [TUNER] 145,1000,993.53,1038.00,3.12,0.00,994.99,1038.00,3.42,0.00
00:08:08.068 [TUNER] 146,1000,997.56,1050.00,3.44,0.00,986.70,1050.00,3.94,0.00
00:08:08.069 [TUNER] 147,1000,997.56,1062.00,3.44,0.00,986.70,1062.00,3.94,0.00
00:08:08.103 [TUNER] 148,1000,1012.80,1074.00,3.63,0.00,1019.58,1074.00,3.89,0.00
00:08:08.104 [TUNER] 149,1000,1012.80,1086.00,3.63,0.00,1019.58,1086.00,3.89,0.00
00:08:08.138 [TUNER] 150,1000,1047.34,1098.00,3.57,0.00,1071.65,1098.00,3.57,0.00
00:08:08.139 [TUNER] 151,1000,1047.34,1110.00,3.57,0.00,1071.65,1110.00,3.57,0.00
00:08:08.172 [TUNER] 152,1000,1097.30,1122.00,3.29,0.00,1108.16,1122.00,3.44,0.00
00:08:08.208 [TUNER] 153,1000,1097.30,1134.00,3.29,0.00,1108.16,1134.00,3.44,0.00
00:08:08.244 [TUNER] 154,1000,1140.70,1146.00,3.08,0.00,1156.26,1146.00,3.13,0.00
00:08:08.244 [TUNER] 155,1000,1140.70,1158.00,3.08,0.00,1156.26,1158.00,3.13,0.00
00:08:08.247 [TUNER] 156,1000,1201.19,1170.00,2.63,0.00,1230.82,1170.00,2.41,0.00
00:08:08.279 [TUNER] 157,1000,1201.19,1182.00,2.63,0.00,1230.82,1182.00,2.41,0.00
00:08:08.279 [TUNER] 158,1000,1246.15,1194.00,2.34,0.00,1262.98,1194.00,2.26,0.00
00:08:08.314 [TUNER] 159,1000,1246.15,1206.00,2.34,0.00,1262.98,1206.00,2.26,0.00
00:08:08.350 [TUNER] 160,1000,1228.86,1218.00,2.87,0.00,1264.66,1218.00,2.54,0.00
00:08:08.350 [TUNER] 161,1000,1228.86,1230.00,2.87,0.00,1264.66,1230.00,2.54,0.00
00:08:08.382 [TUNER] 162,1000,1204.72,1242.00,3.52,0.00,1281.46,1242.00,2.62,0.00
00:08:08.382 [TUNER] 163,1000,1204.72,1254.00,3.52,0.00,1281.46,1254.00,2.62,0.00
00:08:08.417 [TUNER] 164,1000,1240.38,1266.00,3.42,0.00,1270.85,1266.00,3.10,0.00
00:08:08.452 [TUNER] 165,1000,1240.38,1278.00,3.42,0.00,1270.85,1278.00,3.10,0.00
00:08:08.453 [TUNER] 166,1000,1270.63,1290.00,3.39,0.00,1253.77,1290.00,3.71,0.00
00:08:08.487 [TUNER] 167,1000,1270.63,1301.90,3.39,0.00,1253.77,1301.90,3.71,0.00
00:08:08.488 [TUNER] 168,1000,1289.68,1313.70,3.49,0.00,1267.60,1313.70,3.91,0.00
00:08:08.525 [TUNER] 169,1000,1289.68,1325.40,3.49,0.00,1267.60,1325.40,3.91,0.00
00:08:08.527 [TUNER] 170,1000,1337.55,1337.00,3.21,0.00,1292.41,1337.00,3.96,0.00
00:08:08.559 [TUNER] 171,1000,1337.55,1348.50,3.21,0.00,1292.41,1348.50,3.96,0.00
00:08:08.593 [TUNER] 172,1000,1363.83,1359.90,3.19,0.00,1305.38,1359.90,4.17,0.00
00:08:08.595 [TUNER] 173,1000,1363.83,1371.20,3.19,0.00,1305.38,1371.20,4.17,0.00
00:08:08.629 [TUNER] 174,1000,1359.08,1382.40,3.57,0.00,1331.22,1382.40,4.19,0.00
00:08:08.630 [TUNER] 175,1000,1359.08,1393.50,3.57,0.00,1331.22,1393.50,4.19,0.00
00:08:08.663 [TUNER] 176,1000,1406.83,1404.50,3.27,0.00,1408.59,1404.50,3.47,0.00
00:08:08.665 [TUNER] 177,1000,1406.83,1415.40,3.27,0.00,1408.59,1415.40,3.47,0.00
00:08:08.698 [TUNER] 178,1000,1472.51,1426.20,2.71,0.00,1484.23,1426.20,2.71,0.00
00:08:08.734 [TUNER] 179,1000,1472.51,1436.90,2.71,0.00,1484.23,1436.90,2.71,0.00
00:08:08.734 [TUNER] 180,1000,1513.03,1447.50,2.43,0.00,1539.58,1447.50,2.19,0.00
00:08:08.768 [TUNER] 181,1000,1513.03,1458.00,2.43,0.00,1539.58,1458.00,2.19,0.00
00:08:08.769 [TUNER] 182,1000,1567.78,1468.40,1.94,0.00,1566.69,1468.40,2.03,0.00
00:08:08.803 [TUNER] 183,1000,1567.78,1478.70,1.94,0.00,1566.69,1478.70,2.03,0.00
00:08:08.803 [TUNER] 184,1000,1513.65,1488.90,2.87,0.00,1504.19,1488.90,3.15,0.00
00:08:08.837 [TUNER] 185,1000,1513.65,1499.00,2.87,0.00,1504.19,1499.00,3.15,0.00
00:08:08.875 [TUNER] 186,1000,1463.47,1509.00,3.80,0.00,1486.83,1509.00,3.69,0.00
00:08:08.875 [TUNER] 187,1000,1463.47,1518.90,3.80,0.00,1486.83,1518.90,3.69,0.00
00:08:08.911 [TUNER] 188,1000,1497.21,1528.70,3.67,0.00,1490.12,1528.70,3.97,0.00
00:08:08.914 [TUNER] 189,1000,1497.21,1538.40,3.67,0.00,1490.12,1538.40,3.97,0.00
00:08:08.943 [TUNER] 190,1000,1491.56,1548.00,4.05,0.00,1461.83,1548.00,4.71,0.00
00:08:08.943 [TUNER] 191,1000,1491.56,1557.50,4.05,0.00,1461.83,1557.50,4.71,0.00
00:08:08.978 [TUNER] 192,1000,1523.11,1566.90,3.95,0.00,1468.41,1566.90,4.99,0.00
00:08:09.015 [TUNER] 193,1000,1616.68,1576.20,2.90,0.00,1511.13,1576.20,4.58,0.00
00:08:09.015 [TUNER] 194,1000,1616.68,1585.40,2.90,0.00,1511.13,1585.40,4.58,0.00
00:08:09.046 [TUNER] 195,1000,1637.13,1594.50,2.85,0.00,1550.97,1594.50,4.35,0.00
00:08:09.047 [TUNER] 196,1000,1637.13,1603.50,2.85,0.00,1550.97,1603.50,4.35,0.00
