04:12:00.810 [TUNER] --- CSV START ---
04:12:00.810 [TUNER] Metadata,PID_0(P:12.35200 I:445.32941 D:0.00000),PID_1(P:13.37410 I:478.63708 D:0.00000)
04:12:00.811 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
04:12:02.903 [TUNER] 106,1000,976.80,954.95,2.31,0.00,978.86,954.95,2.76,0.00
04:12:02.938 [TUNER] 107,1000,976.80,963.96,2.31,0.00,978.86,963.96,2.76,0.00
04:12:02.940 [TUNER] 108,1000,983.92,972.97,2.45,0.00,999.52,972.97,2.72,0.00
04:12:02.972 [TUNER] 109,1000,983.92,981.98,2.45,0.00,999.52,981.98,2.72,0.00
04:12:03.007 [TUNER] 110,1000,987.76,990.99,2.65,0.00,1027.57,990.99,2.57,0.00
04:12:03.008 [TUNER] 111,1000,987.76,1000.00,2.65,0.00,1027.57,1000.00,2.57,0.00
04:12:03.042 [TUNER] 112,1000,994.64,1009.01,2.82,0.00,1041.64,1009.01,2.60,0.00
04:12:03.042 [TUNER] 113,1000,994.64,1018.02,2.82,0.00,1041.64,1018.02,2.60,0.00
04:12:03.079 [TUNER] 114,1000,1010.29,1027.03,2.88,0.00,1058.60,1027.03,2.61,0.00
04:12:03.079 [TUNER] 115,1000,1010.29,1036.04,2.88,0.00,1058.60,1036.04,2.61,0.00
04:12:03.112 [TUNER] 116,1000,1021.79,1045.05,3.00,0.00,1089.32,1045.05,2.41,0.00
04:12:03.148 [TUNER] 117,1000,1021.79,1054.05,3.00,0.00,1089.32,1054.05,2.41,0.00
04:12:03.148 [TUNER] 118,1000,1033.86,1063.06,3.12,0.00,1102.37,1063.06,2.46,0.00
04:12:03.182 [TUNER] 119,1000,1033.86,1072.07,3.12,0.00,1102.37,1072.07,2.46,0.00
04:12:03.184 [TUNER] 120,1000,1067.92,1081.08,2.95,0.00,1102.09,1081.08,2.70,0.00
04:12:03.217 [TUNER] 121,1000,1067.92,1090.09,2.95,0.00,1102.09,1090.09,2.70,0.00
04:12:03.217 [TUNER] 122,1000,1102.87,1099.10,2.75,0.00,1119.02,1099.10,2.71,0.00
04:12:03.252 [TUNER] 123,1000,1102.87,1108.11,2.75,0.00,1119.02,1108.11,2.71,0.00
04:12:03.288 [TUNER] 124,1000,1111.99,1117.12,2.89,0.00,1142.84,1117.12,2.63,0.00
04:12:03.288 [TUNER] 125,1000,1111.99,1126.13,2.89,0.00,1142.84,1126.13,2.63,0.00
04:12:03.322 [TUNER] 126,1000,1121.05,1135.14,3.03,0.00,1156.55,1135.14,2.68,0.00
04:12:03.323 [TUNER] 127,1000,1121.05,1144.14,3.03,0.00,1156.55,1144.14,2.68,0.00
04:12:03.359 [TUNER] 128,1000,1146.39,1153.15,2.96,0.00,1179.20,1153.15,2.61,0.00
04:12:03.360 [TUNER] 129,1000,1146.39,1162.16,2.96,0.00,1179.20,1162.16,2.61,0.00
04:12:03.391 [TUNER] 130,1000,1171.77,1171.17,2.89,0.00,1220.20,1171.17,2.28,0.00
04:12:03.427 [TUNER] 131,1000,1171.77,1180.18,2.89,0.00,1220.20,1180.18,2.28,0.00
04:12:03.428 [TUNER] 132,1000,1197.20,1189.19,2.81,0.00,1228.75,1189.19,2.38,0.00
04:12:03.463 [TUNER] 133,1000,1197.20,1198.20,2.81,0.00,1228.75,1198.20,2.38,0.00
04:12:03.463 [TUNER] 134,1000,1229.52,1207.21,2.63,0.00,1235.59,1207.21,2.52,0.00
04:12:03.498 [TUNER] 135,1000,1229.52,1216.22,2.63,0.00,1235.59,1216.22,2.52,0.00
04:12:03.499 [TUNER] 136,1000,1237.14,1225.23,2.76,0.00,1238.31,1225.23,2.73,0.00
04:12:03.531 [TUNER] 137,1000,1237.14,1234.23,2.76,0.00,1238.31,1234.23,2.73,0.00
04:12:03.567 [TUNER] 138,1000,1236.27,1243.24,3.02,0.00,1253.64,1243.24,2.78,0.00
04:12:03.568 [TUNER] 139,1000,1236.27,1252.25,3.02,0.00,1253.64,1252.25,2.78,0.00
04:12:03.603 [TUNER] 140,1000,1251.81,1261.26,3.08,0.00,1244.25,1261.26,3.18,0.00
04:12:03.603 [TUNER] 141,1000,1251.81,1270.27,3.08,0.00,1244.25,1270.27,3.18,0.00
04:12:03.636 [TUNER] 142,1000,1277.81,1279.28,3.00,0.00,1255.55,1279.28,3.31,0.00
04:12:03.637 [TUNER] 143,1000,1277.81,1288.29,3.00,0.00,1255.55,1288.29,3.31,0.00
04:12:03.673 [TUNER] 144,1000,1297.79,1297.30,2.99,0.00,1283.76,1297.30,3.20,0.00
04:12:03.745 [TUNER] 145,1000,1297.79,1306.31,2.99,0.00,1283.76,1306.31,3.20,0.00
04:12:03.748 [TUNER] 146,1000,1329.51,1315.32,2.83,0.00,1294.55,1315.32,3.34,0.00
04:12:03.748 [TUNER] 147,1000,1329.51,1324.32,2.83,0.00,1294.55,1324.32,3.34,0.00
04:12:03.749 [TUNER] 148,1000,1347.74,1333.33,2.83,0.00,1331.74,1333.33,3.10,0.00
04:12:03.780 [TUNER] 149,1000,1347.74,1342.34,2.83,0.00,1331.74,1342.34,3.10,0.00
04:12:03.780 [TUNER] 150,1000,1359.86,1351.35,2.92,0.00,1360.93,1351.35,2.96,0.00
