00:06:54.936 [TUNER] --- CSV START ---
00:06:54.937 [TUNER] Metadata,Profile(Accel:12.0 Jerk:100.0),PID_0(P:10.47029 I:327.93915 D:0.00000),PID_1(P:11.35157 I:352.46927 D:0.00000)
00:06:54.938 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
00:06:56.424 [TUNER] 73,1000,241.62,277.50,1.46,0.00,217.35,277.50,1.94,0.00
00:06:56.457 [TUNER] 74,1000,268.89,285.00,1.35,0.00,230.58,285.00,2.01,0.00
00:06:56.459 [TUNER] 75,1000,268.89,292.60,1.35,0.00,230.58,292.60,2.01,0.00
00:06:56.493 [TUNER] 76,1000,288.99,300.30,1.33,0.00,249.75,300.30,2.02,0.00
00:06:56.529 [TUNER] 77,1000,288.99,308.10,1.33,0.00,249.75,308.10,2.02,0.00
00:06:56.530 [TUNER] 78,1000,305.07,316.00,1.34,0.00,261.65,316.00,2.12,0.00
00:06:56.562 [TUNER] 79,1000,305.07,324.00,1.34,0.00,261.65,324.00,2.12,0.00
00:06:56.562 [TUNER] 80,1000,314.50,332.10,1.44,0.00,288.35,332.10,2.04,0.00
00:06:56.598 [TUNER] 81,1000,314.50,340.30,1.44,0.00,288.35,340.30,2.04,0.00
00:06:56.599 [TUNER] 82,1000,323.76,348.60,1.55,0.00,306.27,348.60,2.07,0.00
00:06:56.633 [TUNER] 83,1000,323.76,357.00,1.55,0.00,306.27,357.00,2.07,0.00
00:06:56.635 [TUNER] 84,1000,332.88,365.50,1.67,0.00,336.08,365.50,1.96,0.00
00:06:56.669 [TUNER] 85,1000,332.88,374.10,1.67,0.00,336.08,374.10,1.96,0.00
00:06:56.702 [TUNER] 86,1000,338.46,382.80,1.84,0.00,353.05,382.80,2.00,0.00
00:06:56.703 [TUNER] 87,1000,338.46,391.60,1.84,0.00,353.05,391.60,2.00,0.00
00:06:56.738 [TUNER] 88,1000,349.80,400.50,1.96,0.00,376.93,400.50,1.97,0.00
00:06:56.739 [TUNER] 89,1000,349.80,409.50,1.96,0.00,376.93,409.50,1.97,0.00
00:06:56.773 [TUNER] 90,1000,370.90,418.60,1.98,0.00,394.32,418.60,2.01,0.00
00:06:56.773 [TUNER] 91,1000,370.90,427.80,1.98,0.00,394.32,427.80,2.01,0.00
00:06:56.813 [TUNER] 92,1000,396.37,437.10,1.95,0.00,406.51,437.10,2.12,0.00
00:06:56.843 [TUNER] 93,1000,396.37,446.50,1.95,0.00,406.51,446.50,2.12,0.00
00:06:56.843 [TUNER] 94,1000,420.18,456.00,1.94,0.00,419.70,456.00,2.23,0.00
00:06:56.879 [TUNER] 95,1000,420.18,465.60,1.94,0.00,419.70,465.60,2.23,0.00
00:06:56.880 [TUNER] 96,1000,447.81,475.30,1.89,0.00,431.97,475.30,2.36,0.00
00:06:56.913 [TUNER] 97,1000,447.81,485.10,1.89,0.00,431.97,485.10,2.36,0.00
00:06:56.914 [TUNER] 98,1000,476.80,495.00,1.82,0.00,450.38,495.00,2.43,0.00
00:06:56.947 [TUNER] 99,1000,476.80,505.00,1.82,0.00,450.38,505.00,2.43,0.00
00:06:56.983 [TUNER] 100,1000,499.98,515.10,1.82,0.00,484.00,515.10,2.31,0.00
00:06:56.984 [TUNER] 101,1000,499.98,525.30,1.82,0.00,484.00,525.30,2.31,0.00
00:06:57.019 [TUNER] 102,1000,513.38,535.60,1.93,0.00,514.34,535.60,2.24,0.00
00:06:57.020 [TUNER] 103,1000,513.38,546.00,1.93,0.00,514.34,546.00,2.24,0.00
00:06:57.052 [TUNER] 104,1000,515.50,556.50,2.18,0.00,533.45,556.50,2.30,0.00
00:06:57.053 [TUNER] 105,1000,515.50,567.10,2.18,0.00,533.45,567.10,2.30,0.00
00:06:57.087 [TUNER] 106,1000,517.21,577.80,2.44,0.00,550.46,577.80,2.38,0.00
00:06:57.126 [TUNER] 107,1000,517.21,588.60,2.44,0.00,550.46,588.60,2.38,0.00
00:06:57.128 [TUNER] 108,1000,540.90,599.50,2.48,0.00,562.35,599.50,2.54,0.00
00:06:57.195 [TUNER] 109,1000,540.90,610.50,2.48,0.00,562.35,610.50,2.54,0.00
00:06:57.196 [TUNER] 110,1000,565.01,621.60,2.52,0.00,568.43,621.60,2.78,0.00
00:06:57.196 [TUNER] 111,1000,565.01,632.80,2.52,0.00,568.43,632.80,2.78,0.00
00:06:57.197 [TUNER] 112,1000,603.20,644.10,2.40,0.00,588.75,644.10,2.87,0.00
00:06:57.227 [TUNER] 113,1000,603.20,655.50,2.40,0.00,588.75,655.50,2.87,0.00
00:06:57.265 [TUNER] 114,1000,616.57,667.00,2.56,0.00,611.88,667.00,2.93,0.00
00:06:57.265 [TUNER] 115,1000,616.57,678.60,2.56,0.00,611.88,678.60,2.93,0.00
00:06:57.298 [TUNER] 116,1000,627.26,690.30,2.76,0.00,651.00,690.30,2.80,0.00
00:06:57.299 [TUNER] 117,1000,627.26,702.10,2.76,0.00,651.00,702.10,2.80,0.00
00:06:57.334 [TUNER] 118,1000,646.13,714.00,2.88,0.00,689.17,714.00,2.68,0.00
00:06:57.334 [TUNER] 119,1000,646.13,726.00,2.88,0.00,689.17,726.00,2.68,0.00
00:06:57.367 [TUNER] 120,1000,673.24,738.00,2.91,0.00,707.68,738.00,2.78,0.00
00:06:57.404 [TUNER] 121,1000,673.24,750.00,2.91,0.00,707.68,750.00,2.78,0.00
00:06:57.405 [TUNER] 122,1000,701.81,762.00,2.93,0.00,708.74,762.00,3.10,0.00
00:06:57.438 [TUNER] 123,1000,701.81,774.00,2.93,0.00,708.74,774.00,3.10,0.00
00:06:57.439 [TUNER] 124,1000,740.13,786.00,2.83,0.00,723.34,786.00,3.28,0.00
00:06:57.474 [TUNER] 125,1000,740.13,798.00,2.83,0.00,723.34,798.00,3.28,0.00
00:06:57.474 [TUNER] 126,1000,762.19,810.00,2.91,0.00,760.78,810.00,3.18,0.00
00:06:57.509 [TUNER] 127,1000,762.19,822.00,2.91,0.00,760.78,822.00,3.18,0.00
00:06:57.543 [TUNER] 128,1000,786.71,834.00,2.96,0.00,804.49,834.00,3.01,0.00
00:06:57.544 [TUNER] 129,1000,786.71,846.00,2.96,0.00,804.49,846.00,3.01,0.00
00:06:57.577 [TUNER] 130,1000,821.79,858.00,2.89,0.00,832.58,858.00,3.00,0.00
00:06:57.579 [TUNER] 131,1000,821.79,870.00,2.89,0.00,832.58,870.00,3.00,0.00
00:06:57.613 [TUNER] 132,1000,863.39,882.00,2.74,0.00,860.01,882.00,3.00,0.00
00:06:57.615 [TUNER] 133,1000,863.39,894.00,2.74,0.00,860.01,894.00,3.00,0.00
00:06:57.649 [TUNER] 134,1000,888.49,906.00,2.76,0.00,908.14,906.00,2.75,0.00
00:06:57.753 [TUNER] 135,1000,888.49,918.00,2.76,0.00,908.14,918.00,2.75,0.00
00:06:57.753 [TUNER] 136,1000,904.93,930.00,2.88,0.00,968.76,930.00,2.33,0.00
00:06:57.755 [TUNER] 137,1000,904.93,942.00,2.88,0.00,968.76,942.00,2.33,0.00
00:06:57.758 [TUNER] 138,1000,928.40,954.00,2.93,0.00,982.89,954.00,2.44,0.00
00:06:57.758 [TUNER] 139,1000,928.40,966.00,2.93,0.00,982.89,966.00,2.44,0.00
00:06:57.758 [TUNER] 140,1000,995.27,978.00,2.49,0.00,963.27,978.00,2.97,0.00
00:06:57.786 [TUNER] 141,1000,995.27,990.00,2.49,0.00,963.27,990.00,2.97,0.00
00:06:57.825 [TUNER] 142,1000,1057.36,1002.00,2.08,0.00,968.19,1002.00,3.24,0.00
00:06:57.826 [TUNER] 143,1000,1057.36,1014.00,2.08,0.00,968.19,1014.00,3.24,0.00
00:06:57.859 [TUNER] 144,1000,1079.55,1026.00,2.09,0.00,1004.78,1026.00,3.13,0.00
00:06:57.859 [TUNER] 145,1000,1079.55,1038.00,2.09,0.00,1004.78,1038.00,3.13,0.00
00:06:57.894 [TUNER] 146,1000,1074.96,1050.00,2.40,0.00,1030.60,1050.00,3.15,0.00
00:06:57.898 [TUNER] 147,1000,1074.96,1062.00,2.40,0.00,1030.60,1062.00,3.15,0.00
00:06:57.929 [TUNER] 148,1000,1064.41,1074.00,2.79,0.00,1034.09,1074.00,3.43,0.00
00:06:57.963 [TUNER] 149,1000,1064.41,1086.00,2.79,0.00,1034.09,1086.00,3.43,0.00
00:06:57.963 [TUNER] 150,1000,1057.70,1098.00,3.16,0.00,1057.49,1098.00,3.49,0.00
00:06:57.998 [TUNER] 151,1000,1057.70,1110.00,3.16,0.00,1057.49,1110.00,3.49,0.00
00:06:57.999 [TUNER] 152,1000,1060.92,1122.00,3.44,0.00,1108.85,1122.00,3.22,0.00
00:06:58.033 [TUNER] 153,1000,1060.92,1134.00,3.44,0.00,1108.85,1134.00,3.22,0.00
00:06:58.033 [TUNER] 154,1000,1097.85,1146.00,3.36,0.00,1122.46,1146.00,3.37,0.00
00:06:58.067 [TUNER] 155,1000,1097.85,1158.00,3.36,0.00,1122.46,1158.00,3.37,0.00
00:06:58.102 [TUNER] 156,1000,1146.30,1170.00,3.15,0.00,1107.57,1170.00,3.88,0.01
00:06:58.103 [TUNER] 157,1000,1146.30,1182.00,3.15,0.00,1107.57,1182.00,3.88,0.01
00:06:58.136 [TUNER] 158,1000,1188.49,1194.00,2.98,0.01,1109.40,1194.00,4.22,0.01
00:06:58.137 [TUNER] 159,1000,1188.49,1206.00,2.98,0.01,1109.40,1206.00,4.22,0.01
00:06:58.173 [TUNER] 160,1000,1211.94,1218.00,3.02,0.01,1160.69,1218.00,3.97,0.01
00:06:58.206 [TUNER] 161,1000,1211.94,1230.00,3.02,0.01,1160.69,1230.00,3.97,0.01
00:06:58.206 [TUNER] 162,1000,1251.31,1242.00,2.87,0.01,1203.44,1242.00,3.81,0.01
00:06:58.244 [TUNER] 163,1000,1251.31,1254.00,2.87,0.01,1203.44,1254.00,3.81,0.01
00:06:58.245 [TUNER] 164,1000,1241.58,1266.00,3.27,0.01,1234.21,1266.00,3.78,0.01
00:06:58.280 [TUNER] 165,1000,1241.58,1278.00,3.27,0.01,1234.21,1278.00,3.78,0.01
00:06:58.282 [TUNER] 166,1000,1235.51,1290.00,3.64,0.01,1306.93,1290.00,3.24,0.01
00:06:58.313 [TUNER] 167,1000,1235.51,1301.90,3.64,0.01,1306.93,1301.90,3.24,0.01
00:06:58.316 [TUNER] 168,1000,1258.14,1313.70,3.71,0.01,1329.02,1313.70,3.27,0.01
00:06:58.350 [TUNER] 169,1000,1258.14,1325.40,3.71,0.01,1329.02,1325.40,3.27,0.01
00:06:58.383 [TUNER] 170,1000,1315.76,1337.00,3.39,0.01,1343.26,1337.00,3.39,0.01
00:06:58.383 [TUNER] 171,1000,1315.76,1348.50,3.39,0.01,1343.26,1348.50,3.39,0.01
00:06:58.417 [TUNER] 172,1000,1344.68,1359.90,3.36,0.01,1389.01,1359.90,3.13,0.01
00:06:58.418 [TUNER] 173,1000,1344.68,1371.20,3.36,0.01,1389.01,1371.20,3.13,0.01
