23:56:14.692 [TUNER] --- CSV START ---
23:56:14.692 [TUNER] Metadata,Profile(Accel:12.0 Jerk:100.0),PID_0(P:15.02310 I:641.27429 D:0.00000),PID_1(P:16.24510 I:689.23749 D:0.00000)
23:56:14.692 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
23:56:18.485 [TUNER] 189,1000,0.00,1538.40,16.00,0.08,0.00,1538.40,16.00,0.08
23:56:18.485 [TUNER] 190,1000,0.00,1548.00,16.00,0.08,0.00,1548.00,16.00,0.08
23:56:18.521 [TUNER] 191,1000,0.00,1557.50,16.00,0.08,0.00,1557.50,16.00,0.08
23:56:18.556 [TUNER] 192,1000,0.00,1566.90,16.00,0.08,0.00,1566.90,16.00,0.08
23:56:18.557 [TUNER] 193,1000,0.00,1576.20,16.00,0.08,0.00,1576.20,16.00,0.08
23:56:18.591 [TUNER] 194,1000,0.00,1585.40,16.00,0.08,0.00,1585.40,16.00,0.08
23:56:18.591 [TUNER] 195,1000,0.00,1594.50,16.00,0.08,0.00,1594.50,16.00,0.08
23:56:18.628 [TUNER] 196,1000,0.00,1603.50,16.00,0.08,0.00,1603.50,16.00,0.08
23:56:18.629 [TUNER] 197,1000,0.00,1612.40,16.00,0.08,0.00,1612.40,16.00,0.08
23:56:18.662 [TUNER] 198,1000,0.00,1621.20,16.00,0.08,0.00,1621.20,16.00,0.08
23:56:18.696 [TUNER] 199,1000,0.00,1629.90,16.00,0.08,0.00,1629.90,16.00,0.08
23:56:18.697 [TUNER] 200,1000,0.00,1638.50,16.00,0.08,0.00,1638.50,16.00,0.08
23:56:18.732 [TUNER] 201,1000,0.00,1647.00,16.00,0.08,0.00,1647.00,16.00,0.08
23:56:18.733 [TUNER] 202,1000,0.00,1655.40,16.00,0.08,0.00,1655.40,16.00,0.08
23:56:18.766 [TUNER] 203,1000,0.00,1663.70,16.00,0.08,0.00,1663.70,16.00,0.08
23:56:18.768 [TUNER] 204,1000,0.00,1671.90,16.00,0.08,0.00,1671.90,16.00,0.08
23:56:18.803 [TUNER] 205,1000,0.00,1680.00,16.00,0.08,0.00,1680.00,16.00,0.08
23:56:18.837 [TUNER] 206,1000,0.00,1688.00,16.00,0.08,0.00,1688.00,16.00,0.08
23:56:18.837 [TUNER] 207,1000,0.00,1695.90,16.00,0.08,0.00,1695.90,16.00,0.08
23:56:18.872 [TUNER] 208,1000,0.00,1703.70,16.00,0.08,0.00,1703.70,16.00,0.08
23:56:18.872 [TUNER] 209,1000,0.00,1711.40,16.00,0.08,0.00,1711.40,16.00,0.08
23:56:18.905 [TUNER] 210,1000,0.00,1719.00,16.00,0.08,0.00,1719.00,16.00,0.08
23:56:18.906 [TUNER] 211,1000,0.00,1726.50,16.00,0.08,0.00,1726.50,16.00,0.08
23:56:18.941 [TUNER] 212,1000,0.00,1733.90,16.00,0.08,0.00,1733.90,16.00,0.08
23:56:18.977 [TUNER] 213,1000,0.00,1741.20,16.00,0.08,0.00,1741.20,16.00,0.08
23:56:18.977 [TUNER] 214,1000,0.00,1748.40,16.00,0.08,0.00,1748.40,16.00,0.08
23:56:19.011 [TUNER] 215,1000,0.00,1755.50,16.00,0.08,0.00,1755.50,16.00,0.08
23:56:19.012 [TUNER] 216,1000,0.00,1762.50,16.00,0.08,0.00,1762.50,16.00,0.08
23:56:19.049 [TUNER] 217,1000,0.00,1769.40,16.00,0.08,0.00,1769.40,16.00,0.08
