22:17:38.447 [MCH] --- CSV START ---
22:17:38.448 [MCH] Metadata,Voltage:0.5V,Duration:2000ms
22:17:38.448 [MCH] Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
22:17:42.169 [MCH] 188,10000,0.000,0.000
22:17:42.208 [MCH] 189,10000,0.000,0.000
22:17:42.209 [MCH] 190,10000,0.000,0.000
22:17:42.250 [MCH] 191,10000,0.000,0.000
22:17:42.250 [MCH] 192,10000,0.000,0.000
22:17:42.293 [MCH] 193,10000,0.000,0.000
22:17:42.294 [MCH] 194,10000,0.000,0.000
22:17:42.294 [MCH] 195,10000,0.000,0.000
22:17:42.339 [MCH] 196,10000,0.000,0.000
22:17:42.340 [MCH] 197,10000,0.000,0.000
22:17:42.377 [MCH] 198,10000,0.000,0.000
22:17:42.378 [MCH] 199,10027,0.000,0.000
22:17:42.421 [MCH] --- CSV END ---
22:17:42.421 [MCH] Ready for next step: 1.0V. Send 'MPASS' to start.
22:17:42.421 [MCH] Ready for step 2/13 (1.0V). Send 'PASS' to start or 'ABORT' to cancel.
22:17:44.361 MPASS
22:17:44.633 [MCH] Running step 2/13: Applying 1.0V for 2000 ms...
22:17:46.690 [MCH] --- CSV START ---
22:17:46.693 [MCH] Metadata,Voltage:1.0V,Duration:2000ms
22:17:46.694 [MCH] Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
22:17:46.695 [MCH] 0,0,0.044,0.044
22:17:46.695 [MCH] 1,9575,0.150,0.149
22:17:46.713 [MCH] 2,9995,0.281,0.266
22:17:46.713 [MCH] 3,10132,0.400,0.377
22:17:46.755 [MCH] 4,9873,0.507,0.476
22:17:46.755 [MCH] 5,9993,0.593,0.555
22:17:46.800 [MCH] 6,10000,0.673,0.624
22:17:46.800 [MCH] 7,10000,0.731,0.675
22:17:46.843 [MCH] 8,10000,0.774,0.713
22:17:46.843 [MCH] 9,10000,0.814,0.748
22:17:46.886 [MCH] 10,10000,0.843,0.775
22:17:46.886 [MCH] 11,10000,0.878,0.801
22:17:46.928 [MCH] 12,10000,0.889,0.834
22:17:46.928 [MCH] 13,10000,0.906,0.856
22:17:46.973 [MCH] 14,10000,0.921,0.871
22:17:46.974 [MCH] 15,10000,0.938,0.885
22:17:46.974 [MCH] 16,10000,0.938,0.899
22:17:47.015 [MCH] 17,10000,0.946,0.907
22:17:47.017 [MCH] 18,10042,0.961,0.909
22:17:47.053 [MCH] 19,9958,0.953,0.911
22:17:47.053 [MCH] 20,10000,0.959,0.918
22:17:47.098 [MCH] 21,10000,0.960,0.924
22:17:47.098 [MCH] 22,10000,0.967,0.930
22:17:47.137 [MCH] 23,10000,0.968,0.937
22:17:47.137 [MCH] 24,10010,0.973,0.935
22:17:47.183 [MCH] 25,9990,0.971,0.940
22:17:47.184 [MCH] 26,10000,0.970,0.930
22:17:47.223 [MCH] 27,10000,0.969,0.920
22:17:47.223 [MCH] 28,10000,0.970,0.916
22:17:47.268 [MCH] 29,10000,0.976,0.909
22:17:47.268 [MCH] 30,10000,0.967,0.910
22:17:47.309 [MCH] 31,10000,0.973,0.922
22:17:47.309 [MCH] 32,10000,0.975,0.926
22:17:47.309 [MCH] 33,10000,0.976,0.929
22:17:47.351 [MCH] 34,10000,0.969,0.932
22:17:47.352 [MCH] 35,10000,0.973,0.936
22:17:47.393 [MCH] 36,10000,0.980,0.940
22:17:47.394 [MCH] 37,10000,0.970,0.936
22:17:47.436 [MCH] 38,10000,0.968,0.934
22:17:47.437 [MCH] 39,10000,0.968,0.936
22:17:47.478 [MCH] 40,10000,0.979,0.943
22:17:47.479 [MCH] 41,10000,0.968,0.946
22:17:47.522 [MCH] 42,10008,0.976,0.950
22:17:47.523 [MCH] 43,9992,0.972,0.946
22:17:47.563 [MCH] 44,10000,0.972,0.947
22:17:47.564 [MCH] 45,10000,0.972,0.935
22:17:47.608 [MCH] 46,10000,0.972,0.923
22:17:47.609 [MCH] 47,10000,0.978,0.919
22:17:47.653 [MCH] 48,10000,0.972,0.914
22:17:47.655 [MCH] 49,10000,0.971,0.917
22:17:47.655 [MCH] 50,10000,0.975,0.929
22:17:47.690 [MCH] 51,10000,0.982,0.931
22:17:47.691 [MCH] 52,10000,0.972,0.930
22:17:47.733 [MCH] 53,10000,0.979,0.932
22:17:47.733 [MCH] 54,10000,0.982,0.936
22:17:47.775 [MCH] 55,10000,0.972,0.934
22:17:47.775 [MCH] 56,10000,0.971,0.931
22:17:47.819 [MCH] 57,10000,0.971,0.931
22:17:47.820 [MCH] 58,10000,0.979,0.934
22:17:47.860 [MCH] 59,10000,0.972,0.942
22:17:47.860 [MCH] 60,10000,0.979,0.946
22:17:47.906 [MCH] 61,10000,0.974,0.950
22:17:47.908 [MCH] 62,10000,0.976,0.949
22:17:47.945 [MCH] 63,10000,0.974,0.946
22:17:47.946 [MCH] 64,10000,0.977,0.937
22:17:47.989 [MCH] 65,10000,0.981,0.928
22:17:47.990 [MCH] 66,10000,0.971,0.922
22:17:47.992 [MCH] 67,10000,0.971,0.917
22:17:48.032 [MCH] 68,10000,0.970,0.918
22:17:48.032 [MCH] 69,10000,0.981,0.925
22:17:48.074 [MCH] 70,10000,0.968,0.926
22:17:48.074 [MCH] 71,10000,0.977,0.928
22:17:48.115 [MCH] 72,10000,0.978,0.933
22:17:48.116 [MCH] 73,10000,0.973,0.937
22:17:48.158 [MCH] 74,10000,0.968,0.937
22:17:48.159 [MCH] 75,10000,0.972,0.934
22:17:48.201 [MCH] 76,10000,0.977,0.935
22:17:48.201 [MCH] 77,10000,0.969,0.935
22:17:48.245 [MCH] 78,10000,0.972,0.945
22:17:48.246 [MCH] 79,10000,0.967,0.950
22:17:48.287 [MCH] 80,10000,0.970,0.950
22:17:48.287 [MCH] 81,10000,0.969,0.947
22:17:48.330 [MCH] 82,10000,0.974,0.944
22:17:48.332 [MCH] 83,10000,0.978,0.936
22:17:48.332 [MCH] 84,10000,0.971,0.928
22:17:48.371 [MCH] 85,10000,0.971,0.921
22:17:48.372 [MCH] 86,10000,0.970,0.915
22:17:48.413 [MCH] 87,10000,0.984,0.919
22:17:48.413 [MCH] 88,10000,0.972,0.925
22:17:48.455 [MCH] 89,10000,0.971,0.927
22:17:48.455 [MCH] 90,10000,0.974,0.930
22:17:48.497 [MCH] 91,10000,0.974,0.936
22:17:48.497 [MCH] 92,10000,0.969,0.941
22:17:48.542 [MCH] 93,10000,0.971,0.940
22:17:48.543 [MCH] 94,10000,0.976,0.941
22:17:48.590 [MCH] 95,10000,0.970,0.944
22:17:48.591 [MCH] 96,10000,0.977,0.946
22:17:48.625 [MCH] 97,10000,0.973,0.953
22:17:48.625 [MCH] 98,10000,0.976,0.953
22:17:48.669 [MCH] 99,10000,0.971,0.949
22:17:48.671 [MCH] 100,10000,0.975,0.949
22:17:48.672 [MCH] 101,10000,0.977,0.944
22:17:48.711 [MCH] 102,10000,0.972,0.935
22:17:48.712 [MCH] 103,10000,0.969,0.931
22:17:48.756 [MCH] 104,10000,0.970,0.922
22:17:48.756 [MCH] 105,10000,0.982,0.918
22:17:48.795 [MCH] 106,10000,0.971,0.925
22:17:48.796 [MCH] 107,10000,0.974,0.929
22:17:48.839 [MCH] 108,10000,0.973,0.935
22:17:48.840 [MCH] 109,10000,0.976,0.936
22:17:48.880 [MCH] 110,10000,0.966,0.945
22:17:48.880 [MCH] 111,10000,0.969,0.949
22:17:48.923 [MCH] 112,10000,0.976,0.945
22:17:48.923 [MCH] 113,10000,0.967,0.941
22:17:48.966 [MCH] 114,10000,0.971,0.944
22:17:48.967 [MCH] 115,10000,0.968,0.947
22:17:49.008 [MCH] 116,10000,0.977,0.950
22:17:49.008 [MCH] 117,10000,0.970,0.950
22:17:49.009 [MCH] 118,10023,0.979,0.948
22:17:49.053 [MCH] 119,9977,0.976,0.951
22:17:49.055 [MCH] 120,10000,0.971,0.942
22:17:49.093 [MCH] 121,10000,0.969,0.936
22:17:49.094 [MCH] 122,10000,0.969,0.930
22:17:49.136 [MCH] 123,10000,0.980,0.921
22:17:49.179 [MCH] 124,10000,0.972,0.918
22:17:49.179 [MCH] 125,10000,0.970,0.928
22:17:49.180 [MCH] 126,10000,0.969,0.929
22:17:49.221 [MCH] 127,10000,0.978,0.929
22:17:49.222 [MCH] 128,10000,0.967,0.933
22:17:49.263 [MCH] 129,10000,0.971,0.941
22:17:49.264 [MCH] 130,10000,0.976,0.944
22:17:49.310 [MCH] 131,10000,0.969,0.941
22:17:49.311 [MCH] 132,10000,0.969,0.940
22:17:49.347 [MCH] 133,10000,0.968,0.943
22:17:49.348 [MCH] 134,10000,0.976,0.951
22:17:49.349 [MCH] 135,10000,0.968,0.952
22:17:49.391 [MCH] 136,10000,0.975,0.953
22:17:49.392 [MCH] 137,10000,0.975,0.949
22:17:49.434 [MCH] 138,10000,0.974,0.948
22:17:49.434 [MCH] 139,10000,0.970,0.933
22:17:49.477 [MCH] 140,10000,0.972,0.921
22:17:49.477 [MCH] 141,10000,0.981,0.918
22:17:49.519 [MCH] 142,10000,0.971,0.910
22:17:49.520 [MCH] 143,10000,0.965,0.914
22:17:49.561 [MCH] 144,10000,0.969,0.925
22:17:49.561 [MCH] 145,10000,0.973,0.926
22:17:49.606 [MCH] 146,10000,0.965,0.928
22:17:49.607 [MCH] 147,10000,0.973,0.932
22:17:49.646 [MCH] 148,10000,0.972,0.939
22:17:49.689 [MCH] 149,10000,0.969,0.940
22:17:49.690 [MCH] 150,10000,0.968,0.940
22:17:49.691 [MCH] 151,10000,0.972,0.943
22:17:49.692 [MCH] 152,10000,0.972,0.942
22:17:49.731 [MCH] 153,10000,0.967,0.953
22:17:49.732 [MCH] 154,10000,0.970,0.955
22:17:49.774 [MCH] 155,10000,0.971,0.956
22:17:49.774 [MCH] 156,10000,0.974,0.952
22:17:49.816 [MCH] 157,10000,0.969,0.951
