22:33:24.926 [MCH] --- CSV START ---
22:33:24.926 [MCH] Metadata,Voltage:0.5V,Duration:1000ms
22:33:24.926 [MCH] Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
22:33:32.004 [MCH] 73,9976,0.888,0.777
22:33:32.046 [MCH] 74,10012,0.889,0.781
22:33:32.046 [MCH] 75,9988,0.888,0.781
22:33:32.048 [MCH] 76,10000,0.896,0.779
22:33:32.089 [MCH] 77,10000,0.898,0.780
22:33:32.090 [MCH] 78,10000,0.891,0.780
22:33:32.132 [MCH] 79,10000,0.882,0.780
22:33:32.133 [MCH] 80,10000,0.902,0.778
22:33:32.174 [MCH] 81,10000,0.902,0.779
22:33:32.174 [MCH] 82,10000,0.896,0.785
22:33:32.217 [MCH] 83,10000,0.893,0.791
22:33:32.217 [MCH] 84,10000,0.899,0.795
22:33:32.258 [MCH] 85,10000,0.909,0.795
22:33:32.259 [MCH] 86,10000,0.902,0.789
22:33:32.301 [MCH] 87,10000,0.896,0.787
22:33:32.302 [MCH] 88,10000,0.889,0.789
22:33:32.343 [MCH] 89,10000,0.903,0.788
22:33:32.343 [MCH] 90,10000,0.898,0.787
22:33:32.386 [MCH] 91,10000,0.898,0.787
22:33:32.387 [MCH] 92,10015,0.898,0.792
22:33:32.387 [MCH] 93,10012,0.908,0.796
22:33:32.429 [MCH] 94,9974,0.906,0.799
22:33:32.430 [MCH] 95,10002,0.909,0.800
22:33:32.473 [MCH] 96,10011,0.899,0.795
22:33:32.473 [MCH] 97,9987,0.915,0.788
22:33:32.514 [MCH] 98,10000,0.906,0.787
22:33:32.515 [MCH] 99,10002,0.919,0.791
22:33:32.558 [MCH] --- CSV END ---
22:33:32.558 [MCH] Ready for next step: 2.0V. Send 'MPASS' to start.
22:33:32.558 [MCH] Ready for step 3/13 (2.0V). Send 'PASS' to start or 'ABORT' to cancel.
22:35:05.116 MPASS
22:35:05.334 [MCH] Running step 3/13: Applying 2.0V for 1000 ms...
22:35:06.414 [MCH] --- CSV START ---
22:35:06.414 [MCH] Metadata,Voltage:2.0V,Duration:1000ms
22:35:06.415 [MCH] Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
22:35:06.415 [MCH] 0,0,0.018,0.019
22:35:06.438 [MCH] 1,9563,0.061,0.056
22:35:06.439 [MCH] 2,9997,0.113,0.099
22:35:06.441 [MCH] 3,10000,0.169,0.153
22:35:06.527 [MCH] 4,10000,0.238,0.217
22:35:06.529 [MCH] 5,10000,0.308,0.284
22:35:06.529 [MCH] 6,10000,0.377,0.347
22:35:06.530 [MCH] 7,10000,0.463,0.423
22:35:06.565 [MCH] 8,10002,0.537,0.491
22:35:06.565 [MCH] 9,9998,0.617,0.556
22:35:06.610 [MCH] 10,10039,0.688,0.624
22:35:06.610 [MCH] 11,9961,0.754,0.669
22:35:06.653 [MCH] 12,10000,0.827,0.730
22:35:06.653 [MCH] 13,10000,0.894,0.781
22:35:06.693 [MCH] 14,10003,0.953,0.832
22:35:06.694 [MCH] 15,9997,1.016,0.902
22:35:06.736 [MCH] 16,10000,1.071,0.954
22:35:06.736 [MCH] 17,10000,1.123,0.996
22:35:06.781 [MCH] 18,10004,1.170,1.038
22:35:06.783 [MCH] 19,9996,1.216,1.068
22:35:06.784 [MCH] 20,10000,1.248,1.107
22:35:06.822 [MCH] 21,10000,1.283,1.144
22:35:06.822 [MCH] 22,10000,1.322,1.186
22:35:06.865 [MCH] 23,10000,1.357,1.222
22:35:06.866 [MCH] 24,10000,1.390,1.252
22:35:06.908 [MCH] 25,10000,1.418,1.280
22:35:06.908 [MCH] 26,10000,1.459,1.301
22:35:06.950 [MCH] 27,10000,1.466,1.320
22:35:06.950 [MCH] 28,10000,1.483,1.364
