I (15814) MCH: --- CSV START ---
I (15814) MCH: Metadata,Voltage:1.0V,Duration:1000ms
I (15814) MCH: Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
I (35424) MCH: 48,9998,3.195,3.200
I (35424) MCH: 49,10000,3.206,3.202
I (35434) MCH: 50,10000,3.200,3.197
I (35434) MCH: 51,10000,3.202,3.191
I (35434) MCH: 52,10000,3.201,3.196
I (35444) MCH: 53,10000,3.199,3.192
I (35444) MCH: 54,10000,3.201,3.192
I (35444) MCH: 55,10000,3.200,3.186
I (35454) MCH: 56,10000,3.197,3.182
I (35454) MCH: 57,10000,3.198,3.184
I (35454) MCH: 58,10000,3.192,3.180
I (35464) MCH: 59,10000,3.189,3.179
I (35464) MCH: 60,10000,3.193,3.183
I (35464) MCH: 61,10000,3.196,3.190
I (35464) MCH: 62,10000,3.196,3.182
I (35474) MCH: 63,10000,3.190,3.181
I (35474) MCH: 64,10000,3.190,3.187
I (35474) MCH: 65,10000,3.197,3.188
I (35484) MCH: 66,10000,3.196,3.183
I (35484) MCH: 67,10000,3.194,3.186
I (35484) MCH: 68,10000,3.197,3.193
I (35494) MCH: 69,10000,3.194,3.196
I (35494) MCH: 70,10000,3.193,3.196
I (35494) MCH: 71,10000,3.193,3.193
I (35504) MCH: 72,10000,3.200,3.196
I (35504) MCH: 73,10000,3.192,3.190
I (35504) MCH: 74,10000,3.187,3.191
I (35514) MCH: 75,10000,3.186,3.197
I (35514) MCH: 76,10000,3.195,3.193
I (35514) MCH: 77,10000,3.196,3.189
I (35524) MCH: 78,10000,3.193,3.184
I (35524) MCH: 79,10000,3.195,3.192
I (35524) MCH: 80,10000,3.197,3.194
I (35534) MCH: 81,10000,3.198,3.195
I (35534) MCH: 82,10000,3.199,3.198
I (35534) MCH: 83,10000,3.203,3.198
I (35544) MCH: 84,10000,3.199,3.195
I (35544) MCH: 85,10000,3.196,3.197
I (35544) MCH: 86,10000,3.193,3.199
I (35554) MCH: 87,10000,3.200,3.198
I (35554) MCH: 88,10000,3.194,3.199
I (35554) MCH: 89,10000,3.192,3.192
I (35554) MCH: 90,10000,3.187,3.193
I (35564) MCH: 91,10000,3.189,3.200
I (35564) MCH: 92,10000,3.192,3.198
I (35564) MCH: 93,10000,3.189,3.198
I (35574) MCH: 94,10000,3.192,3.201
I (35574) MCH: 95,10000,3.196,3.197
I (35574) MCH: 96,10000,3.196,3.201
I (35584) MCH: 97,10000,3.195,3.199
I (35584) MCH: 98,10000,3.202,3.203
I (35584) MCH: 99,10000,3.204,3.200
I (35594) MCH: --- CSV END ---
