14:25:31.722 [MCH] --- CSV START ---
14:25:31.722 [MCH] Metadata,Voltage:0.5V,Duration:2000ms
14:25:31.722 [MCH] Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
14:25:42.626 [MCH] 39,10000,0.863,0.876
14:25:42.666 [MCH] 40,10000,0.867,0.883
14:25:42.666 [MCH] 41,10000,0.876,0.893
14:25:42.709 [MCH] 42,10000,0.879,0.896
14:25:42.709 [MCH] 43,10000,0.890,0.906
14:25:42.751 [MCH] 44,10000,0.892,0.915
14:25:42.751 [MCH] 45,10000,0.899,0.925
14:25:42.794 [MCH] 46,10000,0.901,0.925
14:25:42.795 [MCH] 47,10000,0.915,0.935
14:25:42.836 [MCH] 48,10000,0.917,0.940
14:25:42.837 [MCH] 49,10000,0.918,0.944
14:25:42.880 [MCH] 50,10000,0.922,0.946
14:25:42.880 [MCH] 51,10000,0.925,0.950
14:25:42.924 [MCH] 52,10000,0.925,0.950
14:25:42.924 [MCH] 53,10000,0.930,0.960
14:25:42.924 [MCH] 54,10000,0.933,0.969
14:25:42.964 [MCH] 55,10000,0.934,0.966
14:25:42.965 [MCH] 56,10000,0.938,0.975
14:25:43.006 [MCH] 57,10000,0.941,0.977
14:25:43.006 [MCH] 58,10000,0.942,0.978
14:25:43.048 [MCH] 59,10000,0.941,0.978
14:25:43.048 [MCH] 60,10000,0.948,0.978
14:25:43.092 [MCH] 61,10000,0.945,0.981
14:25:43.092 [MCH] 62,10000,0.950,0.987
14:25:43.133 [MCH] 63,10000,0.949,0.991
14:25:43.133 [MCH] 64,10000,0.946,0.990
14:25:43.176 [MCH] 65,10000,0.952,0.993
14:25:43.176 [MCH] 66,10000,0.952,0.992
14:25:43.217 [MCH] 67,10000,0.956,0.988
14:25:43.218 [MCH] 68,10000,0.952,0.989
14:25:43.262 [MCH] 69,10000,0.956,0.989
14:25:43.262 [MCH] 70,10000,0.951,0.994
14:25:43.263 [MCH] 71,10000,0.960,0.995
14:25:43.304 [MCH] 72,10000,0.959,1.002
14:25:43.304 [MCH] 73,10000,0.963,1.000
14:25:43.347 [MCH] 74,10000,0.963,0.998
14:25:43.348 [MCH] 75,10000,0.965,0.996
14:25:43.389 [MCH] 76,10000,0.971,0.995
14:25:43.389 [MCH] 77,10000,0.968,0.999
14:25:43.433 [MCH] 78,10014,0.973,0.998
14:25:43.433 [MCH] 79,9991,0.965,1.001
14:25:43.472 [MCH] 80,9995,0.971,1.002
14:25:43.473 [MCH] 81,10000,0.971,1.002
14:25:43.516 [MCH] 82,10000,0.975,1.000
14:25:43.517 [MCH] 83,10000,0.977,1.004
14:25:43.559 [MCH] 84,10000,0.976,1.007
14:25:43.560 [MCH] 85,10000,0.984,1.005
14:25:43.601 [MCH] 86,10000,0.979,1.007
14:25:43.601 [MCH] 87,10000,0.982,1.008
14:25:43.601 [MCH] 88,10000,0.975,1.007
14:25:43.644 [MCH] 89,10000,0.978,1.009
14:25:43.644 [MCH] 90,10000,0.974,1.009
14:25:43.687 [MCH] 91,10000,0.977,1.011
14:25:43.687 [MCH] 92,10000,0.976,1.010
14:25:43.731 [MCH] 93,10000,0.976,1.014
14:25:43.731 [MCH] 94,10000,0.977,1.012
14:25:43.773 [MCH] 95,10000,0.974,1.005
14:25:43.773 [MCH] 96,10000,0.978,1.005
14:25:43.815 [MCH] 97,10000,0.969,1.010
14:25:43.815 [MCH] 98,10000,0.970,1.010
14:25:43.857 [MCH] 99,10000,0.966,1.009
14:25:43.857 [MCH] 100,10000,0.972,1.016
14:25:43.899 [MCH] 101,10000,0.969,1.012
14:25:43.899 [MCH] 102,10000,0.970,1.007
14:25:43.942 [MCH] 103,10000,0.969,1.008
14:25:43.942 [MCH] 104,10000,0.968,1.007
14:25:43.942 [MCH] 105,10000,0.976,1.011
14:25:43.982 [MCH] 106,10000,0.970,1.012
14:25:43.982 [MCH] 107,10000,0.968,1.008
14:25:44.027 [MCH] 108,10000,0.965,1.012
14:25:44.028 [MCH] 109,10000,0.970,1.011
14:25:44.068 [MCH] 110,10000,0.972,1.011
14:25:44.069 [MCH] 111,10000,0.975,1.008
14:25:44.111 [MCH] 112,10000,0.974,1.009
14:25:44.111 [MCH] 113,10000,0.971,1.009
14:25:44.155 [MCH] 114,10000,0.979,1.011
14:25:44.155 [MCH] 115,10000,0.974,1.011
14:25:44.196 [MCH] 116,10000,0.974,1.002
14:25:44.196 [MCH] 117,10000,0.969,1.008
14:25:44.239 [MCH] 118,10000,0.977,1.012
14:25:44.242 [MCH] 119,10000,0.975,1.011
14:25:44.280 [MCH] 120,10000,0.980,1.010
14:25:44.281 [MCH] 121,10000,0.976,1.006
14:25:44.281 [MCH] 122,10000,0.975,1.001
14:25:44.325 [MCH] 123,10000,0.980,1.003
14:25:44.325 [MCH] 124,10000,0.974,1.009
14:25:44.365 [MCH] 125,10000,0.976,1.004
14:25:44.365 [MCH] 126,10000,0.972,1.005
14:25:44.408 [MCH] 127,10000,0.980,1.013
14:25:44.411 [MCH] 128,10000,0.979,1.010
14:25:44.450 [MCH] 129,10000,0.980,1.004
14:25:44.451 [MCH] 130,10000,0.977,0.999
14:25:44.494 [MCH] 131,10000,0.976,1.008
14:25:44.494 [MCH] 132,10000,0.978,1.007
14:25:44.538 [MCH] 133,10000,0.976,1.010
14:25:44.538 [MCH] 134,10000,0.979,1.006
14:25:44.579 [MCH] 135,10000,0.972,1.009
14:25:44.621 [MCH] 136,10000,0.977,1.007
14:25:44.665 [MCH] 137,10000,0.975,1.003
14:25:44.666 [MCH] 138,10000,0.978,1.003
14:25:44.667 [MCH] 139,10000,0.979,1.002
14:25:44.667 [MCH] 140,10000,0.976,1.005
14:25:44.667 [MCH] 141,10000,0.979,1.010
14:25:44.706 [MCH] 142,10000,0.978,1.010
14:25:44.707 [MCH] 143,10000,0.977,1.006
14:25:44.748 [MCH] 144,10000,0.976,1.006
14:25:44.748 [MCH] 145,10000,0.976,1.010
14:25:44.791 [MCH] 146,10000,0.979,1.008
14:25:44.792 [MCH] 147,10000,0.981,1.010
14:25:44.832 [MCH] 148,10000,0.979,1.008
14:25:44.833 [MCH] 149,10000,0.978,1.010
14:25:44.876 [MCH] 150,10000,0.980,1.011
14:25:44.877 [MCH] 151,10000,0.980,1.008
14:25:44.920 [MCH] 152,10000,0.979,1.012
14:25:44.922 [MCH] 153,10000,0.981,1.011
14:25:44.961 [MCH] 154,10000,0.983,1.015
14:25:44.961 [MCH] 155,10000,0.985,1.013
14:25:44.961 [MCH] 156,10000,0.983,1.008
14:25:45.005 [MCH] 157,10000,0.981,1.007
14:25:45.005 [MCH] 158,10000,0.980,1.009
14:25:45.046 [MCH] 159,10000,0.984,1.017
14:25:45.046 [MCH] 160,10000,0.980,1.012
14:25:45.090 [MCH] 161,10000,0.981,1.015
14:25:45.090 [MCH] 162,10000,0.977,1.015
14:25:45.130 [MCH] 163,10000,0.983,1.010
14:25:45.130 [MCH] 164,10000,0.983,1.009
14:25:45.176 [MCH] 165,10000,0.980,1.010
14:25:45.178 [MCH] 166,10000,0.984,1.011
14:25:45.214 [MCH] 167,10000,0.982,1.013
14:25:45.215 [MCH] 168,10000,0.985,1.017
14:25:45.259 [MCH] 169,10000,0.979,1.013
14:25:45.260 [MCH] 170,10000,0.985,1.012
14:25:45.300 [MCH] 171,10000,0.980,1.010
14:25:45.301 [MCH] 172,10000,0.986,1.014
14:25:45.302 [MCH] 173,10000,0.983,1.011
14:25:45.345 [MCH] 174,10000,0.983,1.011
14:25:45.347 [MCH] 175,10000,0.987,1.012
14:25:45.385 [MCH] 176,10000,0.983,1.013
14:25:45.386 [MCH] 177,10000,0.986,1.010
14:25:45.427 [MCH] 178,10000,0.978,1.011
14:25:45.428 [MCH] 179,10000,0.987,1.014
14:25:45.474 [MCH] 180,10000,0.982,1.014
14:25:45.476 [MCH] 181,10000,0.989,1.015
14:25:45.513 [MCH] 182,10000,0.983,1.012
14:25:45.513 [MCH] 183,10000,0.983,1.006
14:25:45.559 [MCH] 184,10000,0.986,1.009
14:25:45.559 [MCH] 185,10000,0.983,1.017
14:25:45.598 [MCH] 186,10000,0.981,1.013
14:25:45.598 [MCH] 187,10000,0.976,1.014
14:25:45.642 [MCH] 188,10000,0.980,1.014
14:25:45.643 [MCH] 189,10001,0.980,1.010
14:25:45.644 [MCH] 190,9999,0.979,1.008
14:25:45.683 [MCH] 191,10000,0.975,1.003
14:25:45.683 [MCH] 192,10000,0.978,1.006
14:25:45.726 [MCH] 193,10000,0.976,1.006
14:25:45.727 [MCH] 194,10000,0.976,1.006
14:25:45.771 [MCH] 195,10000,0.976,1.006
14:25:45.771 [MCH] 196,10000,0.973,1.005
14:25:45.810 [MCH] 197,10000,0.979,1.003
14:25:45.810 [MCH] 198,10000,0.976,1.000
14:25:45.854 [MCH] 199,10000,0.977,1.002
14:25:45.854 [MCH] --- CSV END ---
14:25:45.854 [MCH] Ready for next step: 2.0V. Send 'MPASS' to start.
14:25:45.856 [MCH] Ready for step 3/13 (2.0V). Send 'PASS' to start or 'ABORT' to cancel.
14:26:10.289 MPASS
14:26:10.460 [MCH] Running step 3/13: Applying 2.0V for 2000 ms...
14:26:12.520 [MCH] --- CSV START ---
14:26:12.521 [MCH] Metadata,Voltage:2.0V,Duration:2000ms
14:26:12.522 [MCH] Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
14:26:12.522 [MCH] 0,0,0.019,0.018
14:26:12.543 [MCH] 1,9936,0.049,0.060
14:26:12.543 [MCH] 2,9993,0.094,0.113
14:26:12.589 [MCH] 3,10000,0.154,0.177
14:26:12.590 [MCH] 4,10000,0.218,0.246
14:26:12.628 [MCH] 5,10002,0.288,0.312
14:26:12.629 [MCH] 6,9998,0.361,0.388
14:26:12.672 [MCH] 7,10000,0.432,0.464
14:26:12.672 [MCH] 8,10000,0.504,0.535
14:26:12.673 [MCH] 9,10000,0.575,0.607
14:26:12.719 [MCH] 10,10000,0.645,0.674
14:26:12.719 [MCH] 11,10000,0.712,0.741
14:26:12.757 [MCH] 12,10000,0.782,0.803
14:26:12.758 [MCH] 13,10000,0.842,0.869
14:26:12.799 [MCH] 14,10003,0.926,0.940
14:26:12.799 [MCH] 15,9997,0.969,0.987
14:26:12.842 [MCH] 16,10000,1.035,1.064
14:26:12.842 [MCH] 17,10000,1.080,1.110
14:26:12.884 [MCH] 18,10000,1.129,1.161
14:26:12.885 [MCH] 19,10000,1.172,1.200
14:26:12.924 [MCH] 20,10000,1.209,1.249
14:26:12.925 [MCH] 21,10000,1.264,1.294
14:26:12.971 [MCH] 22,10001,1.296,1.329
14:26:12.971 [MCH] 23,9999,1.333,1.369
14:26:13.012 [MCH] 24,10000,1.371,1.403
14:26:13.056 [MCH] 25,10000,1.401,1.433
14:26:13.056 [MCH] 26,10000,1.430,1.474
14:26:13.057 [MCH] 27,10000,1.462,1.498
14:26:13.057 [MCH] 28,10000,1.493,1.531
14:26:13.103 [MCH] 29,10000,1.525,1.554
14:26:13.103 [MCH] 30,10000,1.548,1.571
14:26:13.137 [MCH] 31,10000,1.578,1.615
14:26:13.138 [MCH] 32,10000,1.601,1.630
14:26:13.182 [MCH] 33,10000,1.622,1.657
14:26:13.182 [MCH] 34,10000,1.645,1.680
14:26:13.225 [MCH] 35,10000,1.672,1.697
14:26:13.225 [MCH] 36,10000,1.691,1.725
14:26:13.268 [MCH] 37,10000,1.707,1.740
14:26:13.268 [MCH] 38,10000,1.723,1.756
14:26:13.312 [MCH] 39,10001,1.745,1.773
14:26:13.312 [MCH] 40,9999,1.761,1.780
14:26:13.350 [MCH] 41,10000,1.779,1.802
14:26:13.350 [MCH] 42,10000,1.795,1.817
14:26:13.350 [MCH] 43,10000,1.804,1.832
14:26:13.393 [MCH] 44,10000,1.823,1.847
14:26:13.394 [MCH] 45,10000,1.844,1.856
14:26:13.436 [MCH] 46,10000,1.847,1.867
14:26:13.436 [MCH] 47,10000,1.872,1.879
14:26:13.477 [MCH] 48,10000,1.872,1.884
14:26:13.478 [MCH] 49,10000,1.880,1.894
14:26:13.521 [MCH] 50,10000,1.889,1.906
14:26:13.521 [MCH] 51,10000,1.896,1.916
14:26:13.566 [MCH] 52,10000,1.901,1.922
14:26:13.566 [MCH] 53,10000,1.915,1.935
14:26:13.606 [MCH] 54,10000,1.914,1.933
14:26:13.609 [MCH] 55,10000,1.921,1.945
14:26:13.649 [MCH] 56,10000,1.937,1.947
14:26:13.649 [MCH] 57,10000,1.937,1.952
14:26:13.692 [MCH] 58,10000,1.949,1.961
14:26:13.692 [MCH] 59,10000,1.951,1.970
14:26:13.693 [MCH] 60,10000,1.951,1.969
14:26:13.733 [MCH] 61,10000,1.956,1.981
14:26:13.733 [MCH] 62,10000,1.965,1.981
14:26:13.777 [MCH] 63,10000,1.971,1.988
14:26:13.778 [MCH] 64,10000,1.973,1.985
14:26:13.821 [MCH] 65,10000,1.985,1.994
14:26:13.823 [MCH] 66,10000,1.980,1.993
14:26:13.861 [MCH] 67,10000,1.987,2.000
14:26:13.862 [MCH] 68,10000,1.982,2.005
14:26:13.903 [MCH] 69,10000,1.995,2.005
14:26:13.903 [MCH] 70,10000,1.992,2.009
14:26:13.946 [MCH] 71,10000,2.000,2.010
14:26:13.947 [MCH] 72,10000,2.003,2.017
14:26:13.988 [MCH] 73,9999,2.008,2.023
14:26:13.989 [MCH] 74,10001,2.022,2.027
14:26:14.030 [MCH] 75,10000,2.018,2.025
14:26:14.031 [MCH] 76,10000,2.021,2.031
14:26:14.031 [MCH] 77,10000,2.015,2.029
14:26:14.075 [MCH] 78,10000,2.022,2.037
14:26:14.076 [MCH] 79,10000,2.030,2.040
14:26:14.115 [MCH] 80,10000,2.026,2.039
14:26:14.115 [MCH] 81,10000,2.025,2.043
14:26:14.159 [MCH] 82,10000,2.028,2.039
14:26:14.160 [MCH] 83,10000,2.032,2.047
14:26:14.204 [MCH] 84,10000,2.029,2.040
14:26:14.204 [MCH] 85,10000,2.033,2.050
