I (10234) MCH: --- CSV START ---
I (10234) MCH: Metadata,Voltage:1.0V,Duration:800ms
I (10234) MCH: Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
I (10234) MCH: 46,10000,3.657,3.680
I (10234) MCH: 47,10000,3.685,3.720
I (10234) MCH: 48,10000,3.699,3.738
I (10234) MCH: 49,10000,3.719,3.763
I (10234) MCH: 50,10000,3.738,3.784
I (10234) MCH: 51,10000,3.769,3.794
I (10234) MCH: 52,10000,3.785,3.826
I (10234) MCH: 53,10000,3.800,3.833
I (10234) MCH: 54,10000,3.827,3.871
I (10234) MCH: 55,10000,3.832,3.869
I (10234) MCH: 56,10000,3.857,3.898
I (10234) MCH: 57,10000,3.872,3.914
I (10234) MCH: 58,10000,3.892,3.930
I (10234) MCH: 59,10000,3.900,3.957
I (10234) MCH: 60,10000,3.902,3.951
I (10234) MCH: 61,10000,3.931,3.969
I (10234) MCH: 62,10000,3.935,3.962
I (10234) MCH: 63,10000,3.937,3.977
I (10234) MCH: 64,10000,3.961,3.989
I (10234) MCH: 65,10000,3.966,3.985
I (10234) MCH: 66,10000,3.968,3.989
I (10234) MCH: 67,10000,3.981,3.996
I (10234) MCH: 68,10000,3.994,4.004
I (10234) MCH: 69,10000,4.003,4.021
I (10234) MCH: 70,10000,4.004,4.023
I (10234) MCH: 71,10000,4.005,4.026
I (10234) MCH: 72,10000,4.009,4.036
I (10234) MCH: 73,10000,4.018,4.042
I (10234) MCH: 74,10000,4.029,4.049
I (10234) MCH: 75,10000,4.035,4.050
I (10234) MCH: 76,10000,4.036,4.047
I (10234) MCH: 77,10000,4.033,4.054
I (10234) MCH: 78,10000,4.039,4.064
I (10234) MCH: 79,10000,4.052,4.070
I (10234) MCH: --- CSV END ---
I (10234) MCH: Ready for next step: 5.0V. Send 'MPASS' to start.
I (10234) MCH: Ready for step 5/12 (5.0V). Send 'PASS' to start or 'ABORT' to cancel.
I (10234) PAS:
I (10234) MCH: Running step 5/12: Applying 5.0V for 800 ms...
I (10234) MCH: --- CSV START ---
I (10234) MCH: Metadata,Voltage:5.0V,Duration:800ms
I (10234) MCH: Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
I (10234) MCH: 0,0,0.058,0.077
I (10234) MCH: 1,9933,0.169,0.224
I (10234) MCH: 2,9992,0.329,0.413
I (10234) MCH: 3,10000,0.723,0.819
I (10234) MCH: 4,10000,1.269,1.381
I (10234) MCH: 5,10000,1.830,1.875
I (10234) MCH: 6,10000,1.924,2.060
I (10234) MCH: 7,10000,1.982,2.031
I (10234) MCH: 8,10000,1.956,2.224
I (10234) MCH: 9,10000,1.929,2.147
I (10234) MCH: 10,10000,2.032,2.177
I (10234) MCH: 11,10000,2.081,2.248
I (10234) MCH: 12,10000,2.127,2.326
I (10234) MCH: 13,10000,2.233,2.375
I (10234) MCH: 14,10000,2.330,2.547
I (10234) MCH: 15,10000,2.433,2.642
I (10234) MCH: 16,10000,2.505,2.698
I (10234) MCH: 17,10000,2.600,2.750
I (10234) MCH: 18,10000,2.763,2.906
I (10234) MCH: 19,10000,2.799,2.958
I (10234) MCH: 20,10000,2.919,3.073
I (10234) MCH: 21,10000,3.064,3.161
I (10234) MCH: 22,10000,3.093,3.195
I (10234) MCH: 23,10000,3.265,3.312
I (10234) MCH: 24,10000,3.310,3.354
I (10234) MCH: 25,10000,3.418,3.415
I (10234) MCH: 26,10000,3.491,3.555
I (10234) MCH: 27,10000,3.522,3.566
I (10234) MCH: 28,10000,3.566,3.686
I (10234) MCH: 29,10000,3.588,3.695
I (10234) MCH: 30,10000,3.691,3.765
I (10234) MCH: 31,10000,3.777,3.832
I (10234) MCH: 32,10000,3.807,3.880
I (10234) MCH: 33,10000,3.857,3.963
I (10234) MCH: 34,10000,3.886,3.983
I (10234) MCH: 35,10000,3.924,4.038
I (10234) MCH: 36,10000,3.953,4.055
I (10234) MCH: 37,10000,4.080,4.144
I (10234) MCH: 38,10000,4.089,4.153
I (10234) MCH: 39,10000,4.147,4.201
I (10234) MCH: 40,10000,4.160,4.207
I (10234) MCH: 41,10000,4.239,4.281
I (10234) MCH: 42,10000,4.257,4.307
I (10234) MCH: 43,10000,4.284,4.344
I (10234) MCH: 44,10000,4.297,4.352
I (10234) MCH: 45,10000,4.366,4.408
I (10234) MCH: 46,10000,4.366,4.435
I (10234) MCH: 47,10000,4.408,4.476
I (10234) MCH: 48,10000,4.427,4.515
I (10234) MCH: 49,10000,4.458,4.532
I (10234) MCH: 50,10000,4.481,4.541
I (10234) MCH: 51,10000,4.548,4.567
I (10234) MCH: 52,10000,4.558,4.588
I (10234) MCH: 53,10000,4.572,4.605
I (10234) MCH: 54,10000,4.599,4.618
I (10234) MCH: 55,10000,4.652,4.629
I (10234) MCH: 56,10000,4.695,4.638
I (10234) MCH: 57,10000,4.702,4.645
I (10234) MCH: 58,10000,4.703,4.650
I (10234) MCH: 59,10000,4.707,4.654
I (10234) MCH: 60,10000,4.734,4.475
I (10234) MCH: 61,10000,4.757,4.515
